,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,קגמ פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,"קג""מ פנסיה",,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,279,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),,
,"סה""כ אג""ח קונצרני",,,,,,,,5.18,,,2.14,"665,279,821.45",,"1,419,821.39",,100.00,2.03,,
,בישראל,,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,,
,סופר גז- סופרגז,1106822,,8243,שירותים,AA+,מעלות,19/08/07,4.49,שקל חדש,4.90,0.98,"7,019,021.44",141.89,"9,959.29",1.17,0.70,0.01,,
,הראל בטוח כ.התחייבות 1- הראל חברה לביטוח,1089655,,1175,ביטוח,AA,מעלות,31/12/04,1.96,שקל חדש,5.55,0.54,"3,000,000.42",135.29,"4,058.70",1.50,0.29,0.01,,
,VID מאוחד- וי.אי.די. התפלת מי אשקלון,1097997,,1148,אחר,AA-,מעלות,06/07/06,4.37,שקל חדש,7.75,0.99,"9,237,133.18",162.21,"14,983.55",0.00,1.06,0.02,,
,אבנת השכרות א- אבנת השכרות,1094820,,1283,"נדל""ן ובינוי",AA-,מעלות,27/10/05,3.44,שקל חדש,5.30,0.75,"3,857,547.69",140.23,"5,409.44",0.00,0.38,0.01,,
,אוצר החייל כ.התח 03/26 3.95%- אוצר החייל,6014211,,8015,בנקים,Aa3,מידרוג,23/03/11,5.13,שקל חדש,3.95,1.04,"10,000,000.00",118.98,"11,898.00",0.00,0.84,0.02,,
,די בי אס ב 11/19 5.35%- די בי אס - יס,1121490,,8446,שירותים,AA-,פנימי,10/11/10,2.05,שקל חדש,5.71,0.10,"18,444,000.97",118.30,"21,819.25",0.00,1.54,0.03,,
,"דיסקונט כ""ה 09/22 3.8%- דיסקונט",6390041,,691,בנקים,AA-,מעלות,12/02/12,5.85,שקל חדש,3.80,0.91,"21,000,000.00",121.75,"25,567.50",0.00,1.80,0.04,,
,דיסקונט כ.התחיבות 2017- דיסקונט,6391346,,691,בנקים,AA-,מעלות,11/06/07,0.83,שקל חדש,4.90,0.41,"441,176.60",160.25,706.99,0.00,0.05,0.00,,
,מר.דסקונט כ.ה.נדחה 4.1% 07/2- מרכנתיל דיסקונט,7290497,,8017,בנקים,AA-,מעלות,22/02/11,7.34,שקל חדש,4.10,0.98,"20,000,000.00",129.58,"25,916.00",0.00,1.83,0.04,,
,מרכנתיל דסקונט כ.ה. 09/22 3.8%- מרכנתיל דיסקונט,7299522,,8017,בנקים,AA-,מעלות,25/01/12,5.85,שקל חדש,3.80,0.92,"17,000,000.00",121.72,"20,692.40",0.00,1.46,0.03,,
,נתיבי גז א- נתיבי גז,1103084,,8123,אחר,AA-,פנימי,02/01/07,5.64,שקל חדש,5.60,1.14,"7,011,852.91",152.71,"10,707.80",1.00,0.75,0.02,,
,נתיבי גז ג- נתיבי גז,1125509,,8123,אחר,AA-,פנימי,02/01/12,8.89,שקל חדש,4.80,1.89,"18,013,696.00",131.35,"23,660.99",0.00,1.67,0.03,,
,הון משני עליון - בנק לאומי- לאומי,74001041,,604,בנקים,A+,מעלות,07/04/09,2.72,שקל חדש,6.20,0.78,"50,000,000.00",135.94,"67,970.00",0.00,4.79,0.10,,
,מ.מבטחים ה.מ.מורכב ב  4.65% 2021/24- מנורה מבטחים בטוח,1124759,,8319,ביטוח,A1,מידרוג,06/10/11,4.98,שקל חדש,4.65,0.79,"21,000,000.00",124.47,"26,138.70",0.00,1.84,0.04,,
,מקורות 8 4.1% 2048- מקורות,1124346,,1150,אחר,A+,פנימי,14/07/11,12.47,שקל חדש,4.10,1.98,"51,000,000.00",133.15,"67,906.50",0.00,4.78,0.10,,
,מקורות סדרה ו- מקורות,1100908,,1150,אחר,A+,פנימי,31/05/10,10.34,שקל חדש,4.90,1.41,"29,200,000.00",167.51,"48,912.92",1.92,3.45,0.07,,
,פועלים הון ראשוני ג- בנק הפועלים,6620280,,662,בנקים,A+,מעלות,22/11/07,5.65,שקל חדש,5.75,0.93,"29,500,000.00",152.77,"45,067.15",2.27,3.17,0.06,,
,פועלים הון ראשוני ב- בנק הפועלים,6620215,,662,בנקים,A+,מעלות,31/12/04,2.63,שקל חדש,5.75,1.13,"10,000,000.00",139.83,"13,983.00",0.00,0.98,0.02,,
,דרך ארץ מזנין 2- דרך ארץ,6270,,8019,אחר,A2,מידרוג,16/03/11,5.90,שקל חדש,7.15,1.58,"27,008,770.66",142.57,"38,506.40",0.00,2.71,0.06,,
,יצחקי מחסנים א 10/16 6.5%- יצחקי,1109198,,8301,"נדל""ן ובינוי",A2,מידרוג,23/01/08,0.64,שקל חדש,6.50,0.64,"1,575,000.56",122.50,"1,929.38",0.58,0.14,0.00,,
,חשמל 2022- חברת החשמל,6000129,,600,שירותים,A-,פנימי,18/01/11,4.81,שקל חדש,6.00,3.16,"53,893,000.00",119.86,"64,596.15",0.00,4.55,0.09,,
,חשמל יא- חברת החשמל,6000038,,600,שירותים,A-,פנימי,18/08/05,0.38,שקל חדש,6.50,0.47,"37,100,000.00",127.00,"47,117.00",2.99,3.32,0.07,,
,חשמל צמוד 2020 6.85%- חברת החשמל,6000111,,600,שירותים,A-,פנימי,12/02/09,3.49,שקל חדש,6.85,0.78,"19,000,000.00",137.09,"26,047.10",3.76,1.83,0.04,,
,אגרקסקו אגח א- אגרקסקו,1109180,,8308,שירותים,0,לא מדורג,05/02/08,0.00,שקל חדש,9.90,0.00,"1,436,122.07",0.00,0.00,1.03,0.00,0.00,,
,אגרקסקו אגח א חש 4/12- אגרקסקו,1126770,,8308,שירותים,0,לא מדורג,03/08/12,0.00,שקל חדש,9.90,0.00,"287,224.41",0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמוד מדד",,,,,,,,5.74,,,1.30,"466,024,546.91",,"623,554.21",,43.92,0.89,,
,לא צמוד,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ לא צמוד",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
