,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,קגמ פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,"קג""מ פנסיה",,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,279,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
,אשדר חברה לבנין סדרה א- אשדר,1104330,TASE,,8240,"נדל""ן ובינוי",A3,מידרוג,03/06/07,2.07,שקל חדש,4.85,1.43,"80,720.67",129.47,104.51,0.02,0.02,0.00,,
,דיסקונט הון ראשוני מורכב 1- דיסקונט,6910095,TASE,,691,בנקים,A-,מעלות,17/06/07,5.10,שקל חדש,5.10,1.79,"19,038,128.00",140.11,"26,674.32",1.66,5.44,0.04,,
,חשמל 25- חברת החשמל,6000160,TASE,,600,שירותים,A-,פנימי,17/12/15,1.26,שקל חדש,1.20,-0.20,"49,044,777.00",102.83,"50,432.74",4.90,10.28,0.07,,
,חשמל אגח 27- חברת החשמל,6000210,TASE,,600,שירותים,A-,פנימי,24/06/15,9.54,שקל חדש,3.85,2.66,"17,138,588.00",111.73,"19,148.94",1.48,3.90,0.03,,
,"סה""כ צמודות מדד",,,,,,,,,1.92,,,0.66,"261,494,502.65",,"289,710.48",,59.03,0.41,,
,לא צמודות,,,,,,,,,,,,,,,,,,,,
,פועלים הנפקות 26- בנק הפועלים,1940451,TASE,,662,בנקים,AAA,מעלות,24/09/15,0.66,שקל חדש,0.84,0.34,"3,290,186.00",100.37,"3,302.36",0.41,0.67,0.00,,
,לאומי הון משני תחתון יג- לאומי,6040281,TASE,,604,בנקים,AA+,מעלות,16/09/10,1.39,שקל חדש,5.40,0.78,"6,369,723.00",109.60,"6,981.22",0.29,1.42,0.01,,
,"הראל הנפקות י""א כ.התחייבות- הראל מימון והנפקות",1136316,TASE,,8433,ביטוח,AA-,מעלות,03/09/15,9.19,שקל חדש,4.36,3.78,"8,368,000.00",108.30,"9,062.54",2.79,1.85,0.01,,
,גזית גלוב ה- גזית גלוב,1260421,TASE,,126,"נדל""ן ובינוי",A,פנימי,25/08/15,1.49,שקל חדש,0.81,1.60,"57,211.00",99.02,56.65,0.01,0.01,0.00,,
,גזית גלוב ו- גזית גלוב,1260405,TASE,,126,"נדל""ן ובינוי",A,פנימי,25/08/15,0.75,שקל חדש,6.40,0.92,"210,346.50",105.67,222.27,0.07,0.05,0.00,,
,החברה לישראל 9 6% 31.12.17- החברה לישראל,5760202,TASE,,576,השקעות ואחזקות,A-,פנימי,08/07/15,1.21,שקל חדש,6.00,1.25,"57,251.34",107.37,61.47,0.01,0.01,0.00,,
,דלק קב. טו- קבוצת דלק,1115070,TASE,,1095,השקעות ואחזקות,BBB+,פנימי,09/11/11,1.00,שקל חדש,8.50,1.02,"3,470,908.84",111.61,"3,873.88",0.64,0.79,0.01,,
,"סה""כ לא צמודות",,,,,,,,,4.22,,,1.92,"21,823,626.68",,"23,560.40",,4.80,0.03,,
,"צמודות למט""ח",,,,,,,,,,,,,,,,,,,,
,0,0,,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמודות למט""ח",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,,,,,,,,
,0,0,,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,,,,2.09,,,0.76,"283,318,129.33",,"313,270.88",,63.83,0.45,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,,,,,,,,,
,7.75% I.ELECTRIC 12/27- חברת החשמל,us46507wab63,אחר,בלומברג,600,שירותים,A-,פנימי,15/03/11,8.10,דולר אמריקאי,7.75,5.60,"15,418,000.00",121.27,"70,416.41",5.14,14.35,0.10,,
,"סה""כ חברות ישראליות בחו""ל",,,,,,,,,8.10,,,5.60,"15,418,000.00",,"70,416.41",,14.35,0.10,,
,"חברות זרות בחו""ל",,,,,,,,,,,,,,,,,,,,
,EDF 6.5% 01/19- EDF ENERGY,USF2893TAB29,אחר,בלומברג,8406,אחר,A+,מעלות,20/06/11,2.61,דולר אמריקאי,6.50,1.95,"1,250,000.00",113.60,"5,347.89",0.00,1.09,0.01,,
,HSBC5 5/8 08/15/35- HSBC Bank,US4042Q1AB39,אחר,בלומברג,8199,בנקים,A,S P,14/02/12,12.41,דולר אמריקאי,5.63,4.72,"2,050,000.00",112.74,"8,703.54",0.00,1.77,0.01,,
,CEZCO 4.875 04/25- CEZCO,XS0502286908,אחר,בלומברג,8429,אחר,A-,S P,20/06/11,7.46,אירו,4.88,1.49,"1,000,000.00",133.11,"5,704.77",0.00,1.16,0.01,,
,BOA 5.65 05/01/18- BANK OF AMER CRP,US06051GDX43,אחר,בלומברג,8174,בנקים,BBB+,S P,20/06/11,1.96,דולר אמריקאי,5.65,2.04,"4,200,000.00",109.70,"17,351.49",0.00,3.54,0.02,,
,C 6 1/8 05/15/18- CITIGROUP INC,US172967ES69,אחר,בלומברג,8184,בנקים,BBB+,S P,20/06/11,1.99,דולר אמריקאי,6.13,1.89,"2,000,000.00",111.10,"8,367.97",0.00,1.71,0.01,,
,HSBC F 06/01/16- HSBC Bank,US40429CFR88,אחר,בלומברג,8199,בנקים,Baa1,Moodys,19/05/11,0.17,דולר אמריקאי,0.84,0.88,"4,000,000.00",100.06,"15,073.45",0.00,3.07,0.02,,
