,תאריך הדיווח,31/03/2016,,,,,,,,,,,,
,החברה המדווחת,קגמ פנסיה,,,,,,,,,,,,
,שם מסלול/קרן/קופה,"קג""מ פנסיה",,,,,,,,,,,,
,מספר מסלול/קרן/קופה,279,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,
,5. תעודות סל,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,"סה""כ תעודות סל",,,,,,"61,253,748.00",,"3,709,000.19",,100.00,5.30,,
,בישראל,,,,,,,,,,,,,
,שמחקות מדדי מניות בישראל,,,,,,,,,,,,,
,"הראל סל ת""א 25- הראל סל בעמ",1113703,TASE,8317,תעודות סל,שקל חדש,"634,564.00","1,453.00","9,220.21",0.74,0.25,0.01,,
,"הראל סל ת""א 75- הראל סל בעמ",1113745,TASE,8317,תעודות סל,שקל חדש,"5,932,672.00",736.20,"43,676.33",2.37,1.18,0.06,,
,הראל סל תל אביב 100- הראל סל בעמ,1113232,TASE,8317,תעודות סל,שקל חדש,21.00,"1,249.00",0.26,0.00,0.00,0.00,,
,"פסגות סל  ת""א 75- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1113307,TASE,1167,תעודות סל,שקל חדש,"4,096,291.00",735.10,"30,111.84",3.93,0.81,0.04,,
,"פסגות סל תא  100 סד-1- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096593,TASE,1167,תעודות סל,שקל חדש,"2,019,321.00","1,251.00","25,261.71",1.38,0.68,0.04,,
,"פסגות סל תא  75 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096486,TASE,1167,תעודות סל,שקל חדש,"7,874,658.00",720.20,"56,713.29",0.99,1.53,0.08,,
,"פסגות סל תא 100 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1125327,TASE,1167,תעודות סל,שקל חדש,"9,039,032.00","1,249.00","112,897.51",3.54,3.04,0.16,,
,"פסגות סל תא 25 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1125319,TASE,1167,תעודות סל,שקל חדש,"1,080,758.00","1,451.00","15,681.80",0.34,0.42,0.02,,
,"קסם יתר 50- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1116938,TASE,1170,תעודות סל,שקל חדש,"70,193.00","5,500.00","3,860.62",0.74,0.10,0.01,,
,"קסם סמ 31 תא75- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117241,TASE,1170,תעודות סל,שקל חדש,"1,908,562.00","7,085.00","135,221.62",2.38,3.65,0.19,,
,"קסם סמ 9  ת""א25- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1116979,TASE,1170,תעודות סל,שקל חדש,"14,234.00","14,490.00","2,062.51",0.05,0.06,0.00,,
,"קסםסמ 33 תא 100- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117266,TASE,1170,תעודות סל,שקל חדש,"578,818.00","12,510.00","72,410.13",0.56,1.95,0.10,,
,"תכלית ת""א 75- תכלית גלובל בע""מ",1105386,TASE,1261,תעודות סל,שקל חדש,"9,246,084.00",735.00,"67,958.72",0.94,1.83,0.10,,
,"תכלית תא 25- תכלית תעודות סל בע""מ",1091826,TASE,8337,תעודות סל,שקל חדש,"510,258.00","1,452.00","7,408.95",0.26,0.20,0.01,,
,"תכלית תל אביב 100- תכלית תעודות סל בע""מ",1091818,TASE,8337,תעודות סל,שקל חדש,"1,298,924.00","12,490.00","162,235.61",3.14,4.37,0.23,,
,"סה""כ שמחקות מדדי מניות בישראל",,,,,,"44,304,390.00",,"744,721.09",,20.08,1.06,,
,שמחקות מדדים אחרים בישראל,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים בישראל",,,,,,0.00,,0.00,,0.00,0.00,,
,"שמחקות מדדים אחרים בחו""ל",,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,0.00,,0.00,0.00,,
,short,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ short",,,,,,0.00,,0.00,,0.00,0.00,,
,"שמחקות מדדי מניות בחו""ל",,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדי מניות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,"44,304,390.00",,"744,721.09",,20.08,1.06,,
,"בחו""ל",,,,,,,,,,,,,
,שמחקות מדדי מניות,,,,,,,,,,,,,
,AASU LN Amundi Asia Emerging- AMUNDI INVT SOLUTIONS,FR0011018316,LSE,9080,תעודות סל,דולר אמריקאי,"143,267.00","2,379.30","12,837.36",0.52,0.35,0.02,,
,AUEM FP AMUNDI MSCI EME- AMUNDI INVT SOLUTIONS,FR0010959692,EURONEXT,9080,תעודות סל,דולר אמריקאי,"2,745,862.00",347.78,"35,963.64",0.92,0.97,0.05,,
,CMU FP Amundi Europe EMU- AMUNDI INVT SOLUTIONS,FR0010655688,EURONEXT,9080,תעודות סל,אירו,"50,669.00","15,858.56","34,436.40",1.23,0.93,0.05,,
,CUK LN Amundi MSCI UK- AMUNDI INVT SOLUTIONS,FR0010655761,LSE,9080,תעודות סל,לירה שטרלינג,"36,386.00","12,932.13","25,536.19",5.21,0.69,0.04,,
,JPNY FP AMUNDI NIKKEI 400- AMUNDI INVT SOLUTIONS,FR0012205623,EURONEXT,9080,תעודות סל,יין יפני,"50,596.00","1,272,599.85","21,589.45",1.78,0.58,0.03,,
,DB MSCI World XDWD LN- DEUTSCHE BANK,IE00BJ0KDQ92,LSE,8229,תעודות סל,דולר אמריקאי,"2,555,731.00","4,477.40","430,944.51",10.80,11.62,0.62,,
,XD9U LN DB MSCI US- DEUTSCHE BANK,IE00BJ0KDR00,LSE,8229,תעודות סל,דולר אמריקאי,"1,737,183.00","5,281.60","345,534.48",5.19,9.32,0.49,,
,XMEU GR DB MSCI Europe- DEUTSCHE BANK,LU0274209237,FWB,8229,תעודות סל,אירו,"715,814.00","4,665.05","143,109.39",1.25,3.86,0.20,,
