,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,קגמ פנסיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,"קג""מ פנסיה",,,,,,,,,,,
,מספר מסלול/קרן/קופה,279,,,,,,,,,,,
,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,"סה""כ מניות",,,,,,,"141,035,892.15",,"1,505,543.73",,100.00,2.15
,בישראל,,,,,,,,,,,,
,תל אביב 25,,,,,,,,,,,,
,בינלאומי  5- בינלאומי,593038,TASE,,593,בנקים,שקל חדש,"507,103.00","4,657.00","23,615.79",0.51,1.57,0.03
,פועלים- בנק הפועלים,662577,TASE,,662,בנקים,שקל חדש,"6,567,385.77","1,950.00","128,064.02",0.49,8.51,0.18
,מזרחי טפחות- בנק מזרחי טפחות,695437,TASE,,668,בנקים,שקל חדש,"613,268.00","4,407.00","27,026.72",0.26,1.80,0.04
,דיסקונט א- דיסקונט,691212,TASE,,691,בנקים,שקל חדש,"4,845,128.73",636.00,"30,815.02",0.46,2.05,0.04
,לאומי- לאומי,604611,TASE,,604,בנקים,שקל חדש,"8,086,545.17","1,349.00","109,087.49",0.53,7.25,0.16
,"אורמת טכנולוגיות בע""מ- ORMAT TECHNOLOGIES LTD",1134402,TASE,,2250,השקעות בהיי-טק,שקל חדש,"48,275.00","15,480.00","7,472.97",0.10,0.50,0.01
,אלביט מערכות- אלביט מערכות,1081124,TASE,,1040,השקעות בהיי-טק,שקל חדש,"132,141.00","35,370.00","46,738.27",0.31,3.10,0.07
,נייס- נייס,273011,TASE,,273,השקעות בהיי-טק,שקל חדש,"339,338.00","24,650.00","83,646.82",0.56,5.56,0.12
,חברה לישראל- החברה לישראל,576017,TASE,,576,השקעות ואחזקות,שקל חדש,"32,415.67","63,140.00","20,467.25",0.42,1.36,0.03
,פז נפט- פז חברת נפט,1100007,TASE,,8120,השקעות ואחזקות,שקל חדש,"43,226.00","59,690.00","25,801.60",0.43,1.71,0.04
,קבוצת דלק- קבוצת דלק,1084128,TASE,,1095,השקעות ואחזקות,שקל חדש,"24,012.00","64,440.00","15,473.33",0.20,1.03,0.02
,אבנר יהש- אבנר יהש,268011,TASE,,268,חיפושי נפט וגז,שקל חדש,"8,422,929.00",214.20,"18,041.91",0.25,1.20,0.03
,דלק קידוחים יהש- דלק קידוחים,475020,TASE,,8306,חיפושי נפט וגז,שקל חדש,"1,290,792.00","1,105.00","14,263.25",0.24,0.95,0.02
,ישראמקו- ישראמקו,232017,TASE,,232,חיפושי נפט וגז,שקל חדש,"72,508,518.00",64.40,"46,695.49",0.56,3.10,0.07
,אופקו- אופקו,1129543,TASE,,9052,מכשור רפואי,שקל חדש,"1,105,606.00","3,785.00","41,847.19",0.20,2.78,0.06
,מיילן- MYLAN NV,1136704,TASE,,9135,מסחר,שקל חדש,"16,039.00","17,270.00","2,769.94",0.00,0.18,0.00
,פריגו,1130699,TASE,,1233,מסחר,שקל חדש,"292,183.00","48,520.00","141,767.19",0.21,9.42,0.20
,אסם- אסם,304014,TASE,,304,מסחר,שקל חדש,"122,216.00","8,213.00","10,037.60",0.11,0.67,0.01
,טבע- טבע,629014,TASE,,629,מסחר,שקל חדש,"858,914.00","20,270.00","174,101.87",0.08,11.56,0.25
,כיל- כיל,281014,TASE,,281,מסחר,שקל חדש,"3,079,221.00","1,635.00","50,345.26",0.24,3.34,0.07
,פרוטרום- פרוטרום,1081082,TASE,,1037,מסחר,שקל חדש,"189,724.00","19,700.00","37,375.63",0.32,2.48,0.05
,שטראוס-עלית- שטראוס עלית,746016,TASE,,746,מסחר,שקל חדש,"219,257.00","5,633.00","12,350.75",0.20,0.82,0.02
,גזית גלוב- גזית גלוב,126011,TASE,,126,"נדל""ן ובינוי",שקל חדש,"897,609.04","3,429.00","30,779.01",0.46,2.04,0.04
,מליסרון- מליסרון,323014,TASE,,323,"נדל""ן ובינוי",שקל חדש,"79,925.00","13,530.00","10,813.85",0.18,0.72,0.02
,"עזריאלי קבוצה- קבוצת עזריאלי בע""מ",1119478,TASE,,8434,"נדל""ן ובינוי",שקל חדש,"127,090.00","14,750.00","18,745.78",0.10,1.25,0.03
,בזק- בזק,230011,TASE,,230,שירותים,שקל חדש,"14,321,960.00",847.50,"121,378.61",0.52,8.06,0.17
,"סה""כ תל אביב 25",,,,,,,"124,770,821.38",,"1,249,522.61",,82.99,1.79
,תל אביב 75,,,,,,,,,,,,
,"פוקס ויזל מ""ר- פוקס",1087022,TASE,,1140,אופנה והלבשה,שקל חדש,"22,859.00","5,651.00","1,291.76",0.17,0.09,0.00
,איידיאיי ביטוח- איי.די.איי חברה לביטוח,1129501,TASE,,1608,ביטוח,שקל חדש,"10,329.00","19,200.00","1,983.17",0.07,0.13,0.00
,הראל השקעות- הראל השקעות,585018,TASE,,9067,ביטוח,שקל חדש,"505,228.00","1,435.00","7,250.02",0.24,0.48,0.01
,כלל עסקי ביטוח- כלל חברה לביטוח,224014,TASE,,224,ביטוח,שקל חדש,"69,407.00","4,320.00","2,998.38",0.13,0.20,0.00
,מגדל ביטוח- מגדל ביטוח,1081165,TASE,,1041,ביטוח,שקל חדש,"1,298,332.00",261.00,"3,388.65",0.12,0.23,0.00
,אגוד- אגוד,722314,TASE,,722,בנקים,שקל חדש,"6,627.00","1,368.00",90.66,0.01,0.01,0.00
,פ.י.ב.י מר- פיבי,763011,TASE,,763,בנקים,שקל חדש,"56,355.09","5,273.00","2,971.60",0.16,0.20,0.00
,טאואר- טאואר,1082379,TASE,,9105,השקעות בהיי-טק,שקל חדש,"182,241.49","4,632.00","8,441.43",0.21,0.56,0.01
,מטריקס- מטריקס,445015,TASE,,445,השקעות בהיי-טק,שקל חדש,"111,532.00","2,405.00","2,682.34",0.18,0.18,0.00
,אלקטרה- אלקטרה,739037,TASE,,739,השקעות ואחזקות,שקל חדש,"6,035.00","51,290.00","3,095.35",0.17,0.21,0.00
,מבטח שמיר- מבטח שמיר,127019,TASE,,127,השקעות ואחזקות,שקל חדש,"14,158.00","7,408.00","1,048.82",0.14,0.07,0.00
,קנון- קנון,1134139,TASE,,9103,השקעות ואחזקות,שקל חדש,"85,559.69","2,977.00","2,547.11",0.16,0.17,0.00
,רציו יהש- רציו חיפושי נפט,394015,TASE,,394,חיפושי נפט וגז,שקל חדש,"8,860,225.00",23.00,"2,037.85",0.11,0.14,0.00
