,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,
,החברה המדווחת,אגד פנסיה+פרמיה,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,אגד פנסיה + פרמיה,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,212,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,
,6. קרנות נאמנות,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,
,"סה""כ תעודות השתתפות בקרנות נאמנות",,,,,,,,"536,427.34",,"27,277.68",,100.00,0.36,,
,תעודות השתתפות בקרנות נאמנות בישראל,,,,,,,,,,,,,,,
,0,0,,,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ תעודות השתתפות בקרנות נאמנות בישראל",,,,,,,,0.00,,0.00,,0.00,0.00,,
,"תעודות השתתפות בקרנות נאמנות בחו""ל",,,,,,,,,,,,,,,
,ABERDEEN GL EMMKT EQTY I2- Aberdeen Asset Management,LU0231479717,אחר,8328,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"4,153.38","6,159.09",963.38,0.02,3.53,0.01,,
,ABERDEEN GL- JAPAN- Aberdeen Asset Management,LU0231474593,אחר,8328,"אג""ח מובנות",0,לא מדורג,יין יפני,142.88,"9,217,238.09",441.58,0.02,1.62,0.01,,
,ACS GLOBAL EQUITY FUNDS- Heptagon  Capital LLP,KYG4506E1035,אחר,8396,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"1,271.00","15,095.00",722.54,0.00,2.65,0.01,,
,Alken European Opportunities- Alken,LU0235308482,אחר,9021,"אג""ח מובנות",0,לא מדורג,אירו,"1,560.00","19,067.00","1,274.73",0.00,4.67,0.02,,
,Allianz Europe Growth RCMEWTE LX- Allianz,LU0256883504,אחר,9084,"אג""ח מובנות",0,לא מדורג,אירו,119.00,"206,438.00","1,052.81",0.03,3.86,0.01,,
,Artemis Global Income- ARTEMIS,GB00B5ZX1M70,אחר,8275,"אג""ח מובנות",0,לא מדורג,לירה שטרלינג,"158,184.00",100.29,860.94,0.00,3.16,0.01,,
,Blackrock EM Index,IE00B3D07N99,ISE,8464,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"3,163.00","1,197.20",142.61,0.00,0.52,0.00,,
,DB PLATINUM CROCI SECTOR-I2C- DEUTSCHE BANK,LU0419225080,אחר,8229,"אג""ח מובנות",0,לא מדורג,אירו,"1,792.15","27,692.00","2,126.87",0.21,7.80,0.03,,
,DB Platinum Croci US- DEUTSCHE BANK,LU0194165345,אחר,8229,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"2,211.60","24,467.00","2,037.83",0.12,7.47,0.03,,
