,תאריך הדיווח,31/03/2016,,,,,,,,,,,,
,החברה המדווחת,אגד פנסיה+פרמיה,,,,,,,,,,,,
,שם מסלול/קרן/קופה,אגד פנסיה + פרמיה,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,212,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,
,5. תעודות סל,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,"סה""כ תעודות סל",,,,,,"4,511,928.00",,"440,129.67",,100.00,5.86,,
,בישראל,,,,,,,,,,,,,
,שמחקות מדדי מניות בישראל,,,,,,,,,,,,,
,"הראל סל ת""א 75- הראל סל בעמ",1113745,TASE,8317,תעודות סל,שקל חדש,"118,265.00",736.20,870.67,0.05,0.20,0.01,,
,הראל סל תל אביב 100- הראל סל בעמ,1113232,TASE,8317,תעודות סל,שקל חדש,"1,283,680.00","1,249.00","16,033.16",0.62,3.64,0.21,,
,"פסגות סל  ת""א 75- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1113307,TASE,1167,תעודות סל,שקל חדש,"66,852.00",735.10,491.43,0.06,0.11,0.01,,
,"פסגות סל תא  100 סד-1- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096593,TASE,1167,תעודות סל,שקל חדש,"22,454.00","1,251.00",280.90,0.02,0.06,0.00,,
,"פסגות סל תא  75 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096486,TASE,1167,תעודות סל,שקל חדש,"65,102.00",720.20,468.86,0.01,0.11,0.01,,
,"פסגות סל תא 100 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1125327,TASE,1167,תעודות סל,שקל חדש,"33,555.00","1,249.00",419.10,0.01,0.10,0.01,,
,"קסם יתר 50- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1116938,TASE,1170,תעודות סל,שקל חדש,726.00,"5,500.00",39.93,0.01,0.01,0.00,,
,"קסם סמ 31 תא75- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117241,TASE,1170,תעודות סל,שקל חדש,"96,527.00","7,085.00","6,838.94",0.12,1.55,0.09,,
,"קסםסמ 33 תא 100- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117266,TASE,1170,תעודות סל,שקל חדש,"421,981.00","12,510.00","52,789.82",0.41,11.99,0.70,,
,"תכלית ת""א 75- תכלית גלובל בע""מ",1105386,TASE,1261,תעודות סל,שקל חדש,"111,043.00",735.00,816.17,0.01,0.19,0.01,,
,"תכלית תא 25- תכלית תעודות סל בע""מ",1091826,TASE,8337,תעודות סל,שקל חדש,"1,833.00","1,452.00",26.62,0.00,0.01,0.00,,
,"תכלית תל אביב 100- תכלית תעודות סל בע""מ",1091818,TASE,8337,תעודות סל,שקל חדש,"186,053.00","12,490.00","23,238.02",0.45,5.28,0.31,,
