,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,אגד פנסיה+פרמיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,אגד פנסיה + פרמיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,212,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
,"סה""כ אגרות חוב קונצרניות",,,,,,,,,1.65,,,0.25,"92,619,004.90",,"105,468.92",,100.00,1.40,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות מדד,,,,,,,,,,,,,,,,,,,,
,לאומי מימון 176- לאומי,6040208,TASE,,604,בנקים,AAA,מעלות,21/09/06,0.33,שקל חדש,5.05,-1.00,"638,993.50",135.67,866.92,0.26,0.82,0.01,,
,מזרחי טפחות הנפ. 33- בנק מזרחי טפחות,2310092,TASE,,668,בנקים,AAA,מעלות,29/04/15,0.03,שקל חדש,2.60,1.71,"8,096,356.00",105.73,"8,560.28",0.35,8.12,0.11,,
,מזרחי טפחות הנפקות  36- בנק מזרחי טפחות,2310126,TASE,,668,בנקים,AAA,מעלות,21/08/15,1.42,שקל חדש,0.00,-0.63,"43,448,651.00",99.09,"43,053.27",2.36,40.82,0.57,,
,טפחות הנפ התח27- בנק מזרחי טפחות,2310035,TASE,,668,בנקים,AA+,מעלות,14/07/15,0.67,שקל חדש,5.50,-0.45,"37,444.00",134.88,50.50,0.02,0.05,0.00,,
,לאומי כ. התחייבות ג- לאומי,6040182,TASE,,604,בנקים,AA+,מעלות,06/08/14,0.25,שקל חדש,4.90,-0.57,"1,084,365.00",135.62,"1,470.62",0.21,1.39,0.02,,
,לאומי כ.התחייבות סדרה ח- לאומי,6040232,TASE,,604,בנקים,AA+,מעלות,06/11/07,1.09,שקל חדש,4.40,0.27,"3,491,794.83",123.29,"4,305.03",0.27,4.08,0.06,,
,לאומי מימון כ.התחייבות יב- לאומי,6040273,TASE,,604,בנקים,AA+,מעלות,11/09/11,1.42,שקל חדש,2.60,0.19,"6,561,946.00",110.35,"7,241.11",0.20,6.87,0.10,,
,מזרחי טפח.כ.התחייבות 30- בנק מזרחי טפחות,2310068,TASE,,668,בנקים,AA+,מעלות,30/09/15,1.12,שקל חדש,3.90,0.35,"990,183.00",127.07,"1,258.23",0.07,1.19,0.02,,
