,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,אגד פנסיה+פרמיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,אגד פנסיה + פרמיה,,,,,,,,,,,
,מספר מסלול/קרן/קופה,212,,,,,,,,,,,
,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,"סה""כ מניות",,,,,,,"1,426,804.88",,"15,617.11",,100.00,0.21
,בישראל,,,,,,,,,,,,
,תל אביב 25,,,,,,,,,,,,
,בינלאומי  5- בינלאומי,593038,TASE,,593,בנקים,שקל חדש,"4,851.00","4,657.00",225.91,0.00,1.45,0.00
,פועלים- בנק הפועלים,662577,TASE,,662,בנקים,שקל חדש,"75,379.39","1,950.00","1,469.90",0.01,9.41,0.02
,מזרחי טפחות- בנק מזרחי טפחות,695437,TASE,,668,בנקים,שקל חדש,"6,447.00","4,407.00",284.12,0.00,1.82,0.00
,דיסקונט א- דיסקונט,691212,TASE,,691,בנקים,שקל חדש,"52,042.62",636.00,330.99,0.00,2.12,0.00
,לאומי- לאומי,604611,TASE,,604,בנקים,שקל חדש,"86,104.36","1,349.00","1,161.55",0.01,7.44,0.02
,"אורמת טכנולוגיות בע""מ- ORMAT TECHNOLOGIES LTD",1134402,TASE,,2250,השקעות בהיי-טק,שקל חדש,513.00,"15,480.00",79.41,0.00,0.51,0.00
,אלביט מערכות- אלביט מערכות,1081124,TASE,,1040,השקעות בהיי-טק,שקל חדש,"1,476.00","35,370.00",522.06,0.00,3.34,0.01
,נייס- נייס,273011,TASE,,273,השקעות בהיי-טק,שקל חדש,"3,777.00","24,650.00",931.03,0.01,5.96,0.01
,חברה לישראל- החברה לישראל,576017,TASE,,576,השקעות ואחזקות,שקל חדש,334.95,"63,140.00",211.49,0.00,1.35,0.00
,פז נפט- פז חברת נפט,1100007,TASE,,8120,השקעות ואחזקות,שקל חדש,407.00,"59,690.00",242.94,0.00,1.56,0.00
,קבוצת דלק- קבוצת דלק,1084128,TASE,,1095,השקעות ואחזקות,שקל חדש,208.00,"64,440.00",134.04,0.00,0.86,0.00
,אבנר יהש- אבנר יהש,268011,TASE,,268,חיפושי נפט וגז,שקל חדש,"88,333.00",214.20,189.21,0.00,1.21,0.00
,דלק קידוחים יהש- דלק קידוחים,475020,TASE,,8306,חיפושי נפט וגז,שקל חדש,"13,650.00","1,105.00",150.83,0.00,0.97,0.00
,ישראמקו- ישראמקו,232017,TASE,,232,חיפושי נפט וגז,שקל חדש,"779,148.00",64.40,501.77,0.01,3.21,0.01
,אופקו- אופקו,1129543,TASE,,9052,מכשור רפואי,שקל חדש,"11,091.00","3,785.00",419.79,0.00,2.69,0.01
