,תאריך הדיווח,31/12/2015,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,307,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
,"סה""כ אגרות חוב קונצרניות",,,,,,,,,1.20,,,1.49,"22,554,468.69",,"23,902.20",,100.00,0.75,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות מדד,,,,,,,,,,,,,,,,,,,,
,לאומי מימון 176- לאומי,6040208,TASE,,604,בנקים,AAA,מעלות,17/12/14,0.58,שקל חדש,5.05,1.63,"191,551.00",135.18,258.94,0.08,1.08,0.01,,
,מזרחי טפחות הנפ. 33- בנק מזרחי טפחות,2310092,TASE,,668,בנקים,AAA,מעלות,06/03/13,0.28,שקל חדש,2.60,5.20,"3,041,853.00",105.24,"3,201.25",0.13,13.39,0.10,,
,מזרחי טפחות הנפקות  36- בנק מזרחי טפחות,2310126,TASE,,668,בנקים,AAA,מעלות,21/08/15,1.67,שקל חדש,0.00,0.31,"9,281,736.00",98.59,"9,150.86",0.50,38.28,0.29,,
,טפחות הנפ התח27- בנק מזרחי טפחות,2310035,TASE,,668,בנקים,AA+,מעלות,14/07/15,0.92,שקל חדש,5.50,1.04,"16,506.00",134.43,22.19,0.01,0.09,0.00,,
,לאומי כ. התחייבות ג- לאומי,6040182,TASE,,604,בנקים,AA+,מעלות,06/03/13,0.50,שקל חדש,4.90,1.97,"594,528.00",135.35,804.69,0.12,3.37,0.03,,
,לאומי כ.התחייבות ז- לאומי,6040224,TASE,,604,בנקים,AA+,מעלות,17/12/14,0.22,שקל חדש,4.10,6.29,"757,046.50",123.55,935.33,0.11,3.91,0.03,,
