,ערד 8814 01.5.29 4.8%- ממשלת ישראל,8288144,RF,מעלות,01/05/14,10.64,שקל חדש,4.80,0.86,"25,464,000.00",150.31,"38,276.08",0.00,1.43,1.20,,,,,
,ערד 8822 1.1.30 4.8%- ממשלת ישראל,8288227,RF,מעלות,01/01/15,10.96,שקל חדש,4.80,0.91,"12,633,000.00",153.41,"19,380.54",0.00,0.72,0.61,,,,,
,ערד 8823 01.02.30 4.8%- ממשלת ישראל,8288235,RF,מעלות,01/02/15,11.05,שקל חדש,4.80,0.91,"1,347,000.00",153.30,"2,064.91",0.00,0.08,0.06,,,,,
,ערד 8824 01.03.30 4.8%- ממשלת ישראל,8288243,RF,מעלות,01/03/15,11.12,שקל חדש,4.80,0.93,"600,000.00",152.91,917.44,0.00,0.03,0.03,,,,,
,ערד 8825 01.04.30 4.8%- ממשלת ישראל,8288250,RF,מעלות,01/04/15,11.21,שקל חדש,4.80,0.93,"3,743,000.00",153.89,"5,760.12",0.00,0.21,0.18,,,,,
,"סה""כ ערד",,,,,9.78,,,0.77,"197,612,000.00",,"297,366.17",,11.10,9.29,,,,,
,מירון,,,,,,,,,,,,,,,,,,,
,מירון 8280- ממשלת ישראל,8182800,RF,מעלות,01/01/96,0.00,שקל חדש,5.50,0.51,"1,000,000.00",177.83,"1,778.25",0.00,0.07,0.06,,,,,
,מירון 8281- ממשלת ישראל,8182818,RF,מעלות,01/02/96,0.09,שקל חדש,5.50,0.51,"400,000.00",175.69,702.75,0.00,0.03,0.02,,,,,
,"סה""כ מירון",,,,,0.03,,,0.51,"1,400,000.00",,"2,481.00",,0.09,0.08,,,,,
,"פיקדונות חשכ""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ פיקדונות חשכ""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,,
,חקלאים ס.מ.ישיר 30.09.15- ממשלת ישראל,7893485,RF,מעלות,29/11/15,8.59,שקל חדש,0.00,0.85,"2,111,881,126.28",112.70,"2,380,191.57",0.00,88.81,74.33,,,,,
,"סה""כ אחר",,,,,8.59,,,0.85,"2,111,881,126.28",,"2,380,191.57",,88.81,74.33,,,,,
,"סה""כ בישראל",,,,,8.71,,,0.84,"2,310,893,126.28",,"2,680,038.74",,100.00,83.69,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,
