,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.ה. פקדונות מעל 3 חודשים:,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,"מח""מ",סוג מטבע,תנאי ושיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,
,"סה""כ  פקדונות מעל 3 חודשים",,,,,1.68,,,1.16,"52,072,679.53",,"134,892.42",100.00,3.13,,,,,
,בישראל,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,
,11/2021 לאומי פקדון- לאומי,6401434,10,AAA,מעלות,3.07,שקל חדש,5.95,0.61,"1,757,510.78",156.34,"2,747.69",2.04,0.06,,,,,
,1202/01 מזרחי פקדון- בנק מזרחי טפחות,6851570,20,AAA,מעלות,3.17,שקל חדש,6.15,0.50,"647,437.31",156.89,"1,015.76",0.75,0.02,,,,,
,3202/11 טפחות פקדון- בנק מזרחי טפחות,6680144,20,AAA,מעלות,4.14,שקל חדש,6.10,0.71,"3,513,891.62",149.68,"5,259.59",3.90,0.12,,,,,
,3202/21 לאומי פקדון- לאומי,6400204,10,AAA,מעלות,3.88,שקל חדש,6.00,0.77,"1,333,336.00",146.92,"1,958.94",1.45,0.05,,,,,
,לאומי פקדון 09/2021- לאומי,6401392,10,AAA,מעלות,2.91,שקל חדש,6.35,0.60,"1,773,936.16",156.77,"2,781.00",2.06,0.06,,,,,
,לאומי פקדון 10/2021- לאומי,6401418,10,AAA,מעלות,2.99,שקל חדש,6.35,0.60,"1,773,936.32",157.53,"2,794.48",2.07,0.06,,,,,
,לאומי פקדון 12/2021- לאומי,6401467,10,AAA,מעלות,3.15,שקל חדש,6.10,0.62,"1,763,685.46",156.06,"2,752.41",2.04,0.06,,,,,
,מזרחי טפחות 4.6% 06/25- בנק מזרחי טפחות,74001728,20,AAA,מעלות,7.69,שקל חדש,4.60,1.12,"5,698,445.88",142.45,"8,117.44",6.02,0.19,,,,,
,לאומי למשכנתאות פקדון 2018- לאומי משכנתאות,6027031,10,AA+,מעלות,1.94,שקל חדש,5.90,0.50,"3,500,000.00",139.38,"4,878.30",3.62,0.11,,,,,
,"סה""כ צמוד מדד",,,,,4.27,,,0.75,"21,762,179.53",,"32,305.61",23.95,0.75,,,,,
,לא צמוד,,,,,,,,,,,,,,,,,,
,מזרחי פקדון 25.01.15 7.2%- בנק מזרחי טפחות,74004956,20,AAA,מעלות,3.47,שקל חדש,7.20,1.93,"5,000,000.00",120.52,"6,026.00",4.47,0.14,,,,,
,"סה""כ לא צמוד",,,,,3.47,,,1.93,"5,000,000.00",,"6,026.00",4.47,0.14,,,,,
,"נקוב במט""ח",,,,,,,,,,,,,,,,,,
,בלל דולר 5.4264% 2019- לאומי,76001528,10,AAA,מעלות,3.27,דולר אמריקאי,5.43,2.45,"2,000,000.00",112.43,"8,468.23",6.28,0.20,,,,,
,לאומי LIBOR+0.63% 14.12.16- לאומי,76004944,10,AAA,מעלות,0.70,דולר אמריקאי,1.13,1.15,"2,967,000.00",100.04,"11,178.19",8.29,0.26,,,,,
,מזרחי פקדון דולר L +0.63% 09/05/16- בנק מזרחי טפחות,76003706,20,AAA,מעלות,0.11,דולר אמריקאי,0.91,1.05,"2,300,000.00",101.45,"8,787.40",6.51,0.20,,,,,
,פיקדון $$ פועלים 10.8.2016 L+0.44%- בנק הפועלים,76004130,12,AAA,מעלות,0.36,דולר אמריקאי,0.78,0.91,"775,000.00",100.06,"2,920.40",2.16,0.07,,,,,
,פיקדון $$$  פועלים 29.8.2016 1.45%- בנק הפועלים,76004282,12,AAA,מעלות,0.41,דולר אמריקאי,1.45,1.61,"3,225,000.00",100.79,"12,241.30",9.07,0.28,,,,,
,פיקדון בבנק מזרחי 20.3.2017 L+0.73%- בנק מזרחי טפחות,76005456,20,AAA,מעלות,0.97,דולר אמריקאי,1.35,1.15,"2,952,000.00",100.24,"11,143.91",8.26,0.26,,,,,
,פיקדון דולרי בבנק לאומי 26.09.2016 L+0.48% 	- לאומי,76004418,10,AAA,מעלות,0.49,דולר אמריקאי,0.81,0.84,"2,509,000.00",100.00,"9,448.89",7.00,0.22,,,,,
,פיקדון מזרחי$ L+0.44% 22.6.16- בנק מזרחי טפחות,76003898,20,AAA,מעלות,0.23,דולר אמריקאי,0.72,0.97,"650,000.00",100.50,"2,460.14",1.82,0.06,,,,,
,"פקדון $ בל""ל 2.5.16 ליבור + 0.57%- לאומי",76003690,10,AAA,מעלות,0.09,דולר אמריקאי,0.90,1.07,"332,500.00",100.13,"1,253.82",0.93,0.03,,,,,
,פקדון לאומי$  22.6.16  L+0.4%- לאומי,76003906,10,AAA,מעלות,0.23,דולר אמריקאי,0.99,1.28,"2,550,000.00",99.96,"9,599.46",7.12,0.22,,,,,
,"פקדון מזרחי$  10.8.16 יעוד מניות חו""ל- בנק מזרחי טפחות",76004122,20,AAA,מעלות,0.36,דולר אמריקאי,0.75,0.94,"2,450,000.00",100.41,"9,264.53",6.87,0.22,,,,,
,"פקדון פועלים$ 11.8.16 יעוד מניות חו""ל- בנק הפועלים",76004138,12,AAA,מעלות,0.36,דולר אמריקאי,0.80,1.01,"2,600,000.00",100.03,"9,794.54",7.26,0.23,,,,,
,"סה""כ נקוב במט""ח",,,,,0.70,,,1.25,"25,310,500.00",,"96,560.81",71.58,2.24,,,,,
,"צמודי מט""ח",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודי מט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אחר",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,1.68,,,1.16,"52,072,679.53",,"134,892.42",100.00,3.13,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,
