,תאריך הדיווח,31/03/2016,,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,
,5. תעודות סל,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,"סה""כ תעודות סל",,,,,,"3,599,550.00",,"181,533.63",,100.00,4.22,,
,בישראל,,,,,,,,,,,,,
,שמחקות מדדי מניות בישראל,,,,,,,,,,,,,
,"הראל סל ת""א 25- הראל סל בעמ",1113703,TASE,8317,תעודות סל,שקל חדש,"48,140.00","1,453.00",699.47,0.06,0.39,0.02,,
,"הראל סל ת""א 75- הראל סל בעמ",1113745,TASE,8317,תעודות סל,שקל חדש,"566,761.00",736.20,"4,172.49",0.23,2.30,0.10,,
,הראל סל תל אביב 100- הראל סל בעמ,1113232,TASE,8317,תעודות סל,שקל חדש,"142,865.00","1,249.00","1,784.38",0.07,0.98,0.04,,
,"פסגות סל  ת""א 75- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1113307,TASE,1167,תעודות סל,שקל חדש,"344,063.00",735.10,"2,529.21",0.33,1.39,0.06,,
,"פסגות סל תא  100 סד-1- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096593,TASE,1167,תעודות סל,שקל חדש,"139,266.00","1,251.00","1,742.22",0.10,0.96,0.04,,
,"פסגות סל תא  75 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096486,TASE,1167,תעודות סל,שקל חדש,"501,521.00",720.20,"3,611.95",0.06,1.99,0.08,,
,"פסגות סל תא 100 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1125327,TASE,1167,תעודות סל,שקל חדש,"90,179.00","1,249.00","1,126.34",0.04,0.62,0.03,,
,"פסגות סל תא 25 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1125319,TASE,1167,תעודות סל,שקל חדש,"31,836.00","1,451.00",461.94,0.01,0.25,0.01,,
,"קסם יתר 50- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1116938,TASE,1170,תעודות סל,שקל חדש,"4,599.00","5,500.00",252.95,0.05,0.14,0.01,,
,"קסם סמ 31 תא75- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117241,TASE,1170,תעודות סל,שקל חדש,"175,483.00","7,085.00","12,432.97",0.22,6.85,0.29,,
,"קסם סמ 9  ת""א25- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1116979,TASE,1170,תעודות סל,שקל חדש,609.00,"14,490.00",88.24,0.00,0.05,0.00,,
,"קסםסמ 33 תא 100- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117266,TASE,1170,תעודות סל,שקל חדש,"12,797.00","12,510.00","1,600.90",0.01,0.88,0.04,,
,"תכלית ת""א 75- תכלית גלובל בע""מ",1105386,TASE,1261,תעודות סל,שקל חדש,"704,067.00",735.00,"5,174.89",0.07,2.85,0.12,,
,"תכלית תא 25- תכלית תעודות סל בע""מ",1091826,TASE,8337,תעודות סל,שקל חדש,"37,809.00","1,452.00",548.99,0.02,0.30,0.01,,
,"סה""כ שמחקות מדדי מניות בישראל",,,,,,"2,799,995.00",,"36,226.95",,19.96,0.84,,
,שמחקות מדדים אחרים בישראל,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים בישראל",,,,,,0.00,,0.00,,0.00,0.00,,
,"שמחקות מדדים אחרים בחו""ל",,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,0.00,,0.00,0.00,,
,short,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ short",,,,,,0.00,,0.00,,0.00,0.00,,
,"שמחקות מדדי מניות בחו""ל",,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדי מניות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,"2,799,995.00",,"36,226.95",,19.96,0.84,,
,"בחו""ל",,,,,,,,,,,,,
,שמחקות מדדי מניות,,,,,,,,,,,,,
,AASU LN Amundi Asia Emerging- AMUNDI INVT SOLUTIONS,FR0011018316,LSE,9080,תעודות סל,דולר אמריקאי,"13,231.00","2,379.30","1,185.56",0.05,0.65,0.03,,
,AUEM FP AMUNDI MSCI EME- AMUNDI INVT SOLUTIONS,FR0010959692,EURONEXT,9080,תעודות סל,דולר אמריקאי,"163,585.00",347.78,"2,142.54",0.05,1.18,0.05,,
,CMU FP Amundi Europe EMU- AMUNDI INVT SOLUTIONS,FR0010655688,EURONEXT,9080,תעודות סל,אירו,"3,322.00","15,858.56","2,257.75",0.08,1.24,0.05,,
,CUK LN Amundi MSCI UK- AMUNDI INVT SOLUTIONS,FR0010655761,LSE,9080,תעודות סל,לירה שטרלינג,"2,165.00","12,932.13","1,519.43",0.31,0.84,0.04,,
,JPNY FP AMUNDI NIKKEI 400- AMUNDI INVT SOLUTIONS,FR0012205623,EURONEXT,9080,תעודות סל,יין יפני,"3,321.00","1,272,599.85","1,417.08",0.12,0.78,0.03,,
,DB MSCI World XDWD LN- DEUTSCHE BANK,IE00BJ0KDQ92,LSE,8229,תעודות סל,דולר אמריקאי,"80,140.00","4,477.40","13,513.12",0.34,7.44,0.31,,
,XD9U LN DB MSCI US- DEUTSCHE BANK,IE00BJ0KDR00,LSE,8229,תעודות סל,דולר אמריקאי,"104,892.00","5,281.60","20,863.55",0.31,11.49,0.48,,
,XMEU GR DB MSCI Europe- DEUTSCHE BANK,LU0274209237,FWB,8229,תעודות סל,אירו,"67,116.00","4,665.05","13,418.19",0.12,7.39,0.31,,
,XMJD LN DB MSCI Japan- DEUTSCHE BANK,LU0274209740,LSE,8229,תעודות סל,דולר אמריקאי,"33,927.00","4,591.20","5,866.13",0.13,3.23,0.14,,
,XPXD LN DB Pacific Ex- Japan- DEUTSCHE BANK,LU0322252338,LSE,8229,תעודות סל,דולר אמריקאי,"26,630.00","4,629.50","4,642.86",0.26,2.56,0.11,,
,EEM Ishares MSCI EMRG- ISHARES,US4642872349,NYSE,8342,תעודות סל,דולר אמריקאי,195.00,"3,425.00",25.15,0.00,0.01,0.00,,
,EWJ US- ISHARES,us4642868487,NYSE,8342,תעודות סל,דולר אמריקאי,"8,171.00","1,141.00",351.11,0.00,0.19,0.01,,
,Ishares MSCI World IWDA LN- ISHARES,IE00B4L5Y983,LSE,8342,תעודות סל,דולר אמריקאי,"183,626.00","4,092.70","28,302.47",0.12,15.59,0.66,,
,ITB Home Construction- ISHARES,US4642887529,NYSE,8342,תעודות סל,דולר אמריקאי,"22,871.00","2,709.00","2,333.32",0.04,1.29,0.05,,
,1321 JP NOMURA NIKKEI 225- Nomura,JP3027650005,JPX,9007,תעודות סל,יין יפני,"4,801.00","1,732,414.99","2,788.80",0.00,1.54,0.06,,
,QQQ US- POWERSHARES,US73935A1043,NASDAQ,8345,תעודות סל,דולר אמריקאי,"5,310.00","10,920.00","2,183.72",0.00,1.20,0.05,,
,MXWO LN- SOURCE MARKETS PLC,IE00B60SX394,LSE,8392,תעודות סל,דולר אמריקאי,"30,305.00","4,378.00","4,996.55",0.32,2.75,0.12,,
,Source MSCI Europe- SOURCE MARKETS PLC,IE00B60SWY32,FWB,8392,תעודות סל,אירו,"17,717.00","17,580.65","13,348.63",0.60,7.35,0.31,,
,Source S P 500- SOURCE MARKETS PLC,IE00B3YCGJ38,LSE,8392,תעודות סל,דולר אמריקאי,"12,740.00","35,186.77","16,882.20",0.19,9.30,0.39,,
,FINANC SPDT-XLF- State Street,US81369Y6059,NYSE,8330,תעודות סל,דולר אמריקאי,"4,088.00","2,250.00",346.40,0.00,0.19,0.01,,
,SPDR EUROPE Cons Disc- State Street,IE00BKWQ0C77,EURONEXT,8330,תעודות סל,אירו,"5,404.00","9,843.71","2,279.74",0.36,1.26,0.05,,
,spy - spdr- State Street,US78462F1030,NYSE,8330,תעודות סל,דולר אמריקאי,"5,998.00","20,552.00","4,642.38",0.00,2.56,0.11,,
,"סה""כ שמחקות מדדי מניות",,,,,,"799,555.00",,"145,306.68",,80.04,3.38,,
,שמחקות מדדים אחרים,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים",,,,,,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,0.00,,0.00,0.00,,
,short,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ short",,,,,,0.00,,0.00,,0.00,0.00,,
,"סה""כ בחו""ל",,,,,,"799,555.00",,"145,306.68",,80.04,3.38,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
