,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,
,5. קרנות השקעה,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(3),(4),(5),(6),(7),(8),(9),(10),,,,,
,"סה""כ קרנות השקעה ",,,,"432,427,848.05",,"1,306,513.26",,100.00,2.30,,,,,
,בישראל,,,,,,,,,,,,,,
,קרנות הון סיכון,,,,,,,,,,,,,,
,Carmel Ventures IV- Carmel,60337284,דולר אמריקאי,21/01/14,"975,000.00",105.26,"3,864.84",0.00,0.30,0.01,,,,,
,Gemini Israel V L.P- Gemini,9840826,דולר אמריקאי,06/01/09,"951,692.00",164.16,"5,883.63",0.00,0.45,0.01,,,,,
,Giza IV- Giza,9840838,דולר אמריקאי,18/01/06,"1,500,000.00",34.06,"1,924.12",0.00,0.15,0.00,,,,,
,Plenus II- Plenus (Viola Credit),9840918,דולר אמריקאי,11/01/06,"650,192.00",71.07,"1,740.34",0.00,0.13,0.00,,,,,
,Plenus III- Plenus (Viola Credit),9840920,דולר אמריקאי,24/10/07,"2,372,119.00",106.60,"9,522.70",0.00,0.73,0.02,,,,,
,SCP VitaLife II- SCP Vitalife,9840803,דולר אמריקאי,30/10/07,"3,000,000.00",84.55,"9,552.05",0.00,0.73,0.02,,,,,
,Vertex III- Vertex,9840855,דולר אמריקאי,26/01/06,"1,500,000.00",46.95,"2,652.37",0.00,0.20,0.00,,,,,
,Vintage II- Vintage,9840860,דולר אמריקאי,11/04/06,"5,721,232.00",109.58,"23,610.58",0.00,1.81,0.04,,,,,
,Vintage III- Vintage,9840861,דולר אמריקאי,09/10/07,"1,599,998.00",66.45,"4,003.82",0.00,0.31,0.01,,,,,
,Vintage Investment Partners V- Vintage,60297512,דולר אמריקאי,21/08/12,"1,459,451.00",104.53,"5,745.11",0.00,0.44,0.01,,,,,
,Vintage IV- Vintage,9840774,דולר אמריקאי,28/05/09,"1,249,237.52",99.86,"4,697.98",0.00,0.36,0.01,,,,,
,Vintage VII Amitim- Vintage,60370269,דולר אמריקאי,14/10/14,"3,105,000.00",92.78,"10,849.48",0.00,0.83,0.02,,,,,
,"סה""כ קרנות הון סיכון",,,,"24,083,921.52",,"84,047.03",,6.43,0.15,,,,,
,קרנות גידור,,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות גידור",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות נדל""ן",,,,,,,,,,,,,,
,Faire fund I- Faire,9840944,דולר אמריקאי,30/06/04,"1,500,000.00",18.80,"1,062.02",0.00,0.08,0.00,,,,,
,Faire fund II- Faire,9840693,דולר אמריקאי,15/11/06,"3,000,000.00",108.17,"12,221.07",0.00,0.94,0.02,,,,,
,Yesodot I - Tama 38 Finance- Yesodot,92817,שקל חדש,11/01/15,"2,974,862.00",97.65,"2,905.07",0.00,0.22,0.01,,,,,
,"סה""כ קרנות נדל""ן",,,,"7,474,862.00",,"16,188.16",,1.24,0.03,,,,,
,קרנות השקעה אחרות,,,,,,,,,,,,,,
,AMI I - APAX  ISRAEL- Apax,60375078,דולר אמריקאי,17/12/15,"1,485,750.00",91.85,"5,139.29",0.00,0.39,0.01,,,,,
,FIMI Opportunity II- FIMI,9840776,דולר אמריקאי,30/04/06,"3,103,521.00",44.37,"5,185.70",0.00,0.40,0.01,,,,,
,Fimi Opportunity IV- FIMI,9840908,דולר אמריקאי,11/01/08,"5,785,028.00",76.76,"16,722.49",0.00,1.28,0.03,,,,,
,Fimi V- FIMI,60305448,דולר אמריקאי,27/08/12,"5,386,159.00",124.95,"25,344.19",0.00,1.94,0.04,,,,,
,Fortissimo II- Fortissimo,9840773,דולר אמריקאי,06/11/08,"940,000.00",222.63,"7,881.16",0.00,0.60,0.01,,,,,
,Fortissimo III- Fortissimo,60289790,דולר אמריקאי,26/06/12,"2,280,000.00",93.30,"8,011.54",0.00,0.61,0.01,,,,,
,Israel Infrastructure I- IIF,9840949,דולר אמריקאי,20/10/06,"4,675,000.00",95.09,"16,742.30",0.00,1.28,0.03,,,,,
,Israel Infrastructure II- IIF,60283058,דולר אמריקאי,31/08/11,"2,145,000.00",72.61,"5,865.41",0.00,0.45,0.01,,,,,
,Israel Growth Partnes I- Israel Groth Partners,60353281,דולר אמריקאי,28/03/14,"1,335,700.00",63.98,"3,218.27",0.00,0.25,0.01,,,,,
,Markstone Isr Par l- Markstone,9840796,דולר אמריקאי,17/10/05,"1,793,002.00",0.00,0.01,0.00,0.00,0.00,,,,,
,Sky I- Sky,9840896,דולר אמריקאי,06/01/06,"1,393,521.00",12.46,654.06,0.00,0.05,0.00,,,,,
,Sky II- Sky,9840689,דולר אמריקאי,13/07/10,"1,322,880.18",95.01,"4,733.30",0.00,0.36,0.01,,,,,
,Tene Growth Capital II- Tene,9840862,דולר אמריקאי,03/12/06,"2,913,840.00",76.08,"8,348.81",0.00,0.64,0.01,,,,,
,Tene Growth Capital III- Tene,60346087,דולר אמריקאי,26/12/13,"2,473,897.00",117.29,"10,927.42",0.00,0.84,0.02,,,,,
,Tene III - Gadot Co-Investment- Tene,60356391,דולר אמריקאי,24/04/14,"2,813,245.00",145.09,"15,371.40",0.00,1.18,0.03,,,,,
,Bereshit - Manof Fund- Bereshit,25965,שקל חדש,13/05/09,"48,304,164.30",57.97,"28,001.01",0.00,2.14,0.05,,,,,
,Klirmark I- Klirmark,26054,שקל חדש,24/06/09,"7,221,161.00",11.78,850.72,0.00,0.07,0.00,,,,,
,Klirmark II- Klirmark,36731,שקל חדש,01/02/15,"12,828,114.00",73.07,"9,373.26",0.00,0.72,0.02,,,,,
,NOY fund II- NOY,36749,שקל חדש,02/07/15,"4,942,886.00",85.32,"4,217.27",0.00,0.32,0.01,,,,,
,Noy Infrastructure- NOY,39115,שקל חדש,15/10/12,"9,925,011.00",97.90,"9,716.81",0.00,0.74,0.02,,,,,
,"סה""כ קרנות השקעה אחרות",,,,"123,067,879.48",,"186,304.42",,14.26,0.33,,,,,
,"סה""כ בישראל",,,,"154,626,663.00",,"286,539.61",,21.93,0.51,,,,,
,"בחו""ל",,,,,,,,,,,,,,
,"קרנות הון סיכון בחו""ל",,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות הון סיכון בחו""ל",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות גידור בחו""ל",,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות גידור בחו""ל",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות נדל""ן בחו""ל",,,,,,,,,,,,,,
,CIM Fund VIII,60358561,דולר אמריקאי,22/05/14,"4,368,753.00",107.31,"17,654.84",0.00,1.35,0.03,,,,,
,Blackstone RE VII- Blackstone,60298742,דולר אמריקאי,05/11/12,"4,104,362.00",128.05,"19,793.19",0.00,1.51,0.03,,,,,
,Blackstone RE VIII- Blackstone,60385630,דולר אמריקאי,20/08/15,"3,684,947.00",102.25,"14,189.71",0.00,1.09,0.03,,,,,
,"סה""כ קרנות נדל""ן בחו""ל",,,,"12,158,062.00",,"51,637.74",,3.95,0.09,,,,,
,"קרנות השקעה אחרות בחו""ל",,,,,,,,,,,,,,
,"Advent International GPE VI, L.P. (4",40000523,אירו,30/06/13,"184,830.00",100.00,792.11,0.00,0.06,0.00,,,,,
,"APAX Europe VII - B, L.P. (1",40000531,אירו,30/06/13,"51,065.00",100.00,218.84,0.00,0.02,0.00,,,,,
,CapVis Equity IV,41000828,אירו,30/06/14,"569,667.00",100.00,"2,441.36",0.00,0.19,0.00,,,,,
,"Carlyle Europe Partners III, L.P. (3",40000549,אירו,30/06/13,"314,967.00",100.00,"1,349.82",0.00,0.10,0.00,,,,,
,"Carlyle Partners IV, L.P. (3",40000556,אירו,30/06/13,"14,375.00",100.00,61.61,0.00,0.00,0.00,,,,,
,"CVC European Equity Partners Tandem Fund (A), L.P",40000564,אירו,30/06/13,"50,184.00",100.00,215.07,0.00,0.02,0.00,,,,,
,"CVC European Equity Partners V, L.P. (4",40000572,אירו,30/06/13,"94,566.00",100.00,405.27,0.00,0.03,0.00,,,,,
,Egeria Private Equity Fund IV,41000804,אירו,30/06/13,"454,646.00",100.00,"1,948.43",0.00,0.15,0.00,,,,,
,"Equistone Partners Europe Fund IV, L.P",41000812,אירו,30/06/13,"2,727,864.00",100.00,"11,690.53",0.00,0.89,0.02,,,,,
,"Fourth Cinven Fund, L.P. (3",40000580,אירו,30/06/13,"246,312.00",100.00,"1,055.59",0.00,0.08,0.00,,,,,
,"Green Equity Investors Side V, L.P. (1",40000606,אירו,30/06/13,"139,666.00",100.00,598.55,0.00,0.05,0.00,,,,,
,Hadler GIMV Germany II,40000812,אירו,31/12/13,"240,337.00",100.00,"1,029.99",0.00,0.08,0.00,,,,,
,HgCapital 7 L.P. (1,41000820,אירו,30/09/13,"919,017.00",100.00,"3,938.54",0.00,0.30,0.01,,,,,
,HgCapital Mercury C L.P,41000858,אירו,30/06/15,"262,103.00",100.00,"1,123.27",0.00,0.09,0.00,,,,,
,"Investcorp Private Equity 2007 Fund, L.P. (2",40000614,אירו,30/06/13,"373,426.00",100.00,"1,600.35",0.00,0.12,0.00,,,,,
,ISIS IV LP (1,40000622,אירו,30/06/13,"251,536.00",100.00,"1,077.98",0.00,0.08,0.00,,,,,
,"KKR European Fund III, L.P. (2",40000630,אירו,30/06/13,"230,240.00",100.00,986.72,0.00,0.08,0.00,,,,,
,"Madison Dearborn Capital Partners VI-C, L.P. (1",40000655,אירו,30/06/13,"140,679.00",100.00,602.89,0.00,0.05,0.00,,,,,
,PAI Europe IV (2,40000663,אירו,30/06/13,"53,360.00",100.00,228.68,0.00,0.02,0.00,,,,,
,PAI Europe V (2,40000671,אירו,30/06/13,"209,235.00",100.00,896.70,0.00,0.07,0.00,,,,,
,"Partners Group Direct Investments 2009, L.P.(6",40000481,אירו,30/06/13,"7,479,916.00",100.00,"32,055.93",0.00,2.45,0.06,,,,,
,"Partners Group Direct Investments 2012 EUR, LP Inc",41000838,אירו,30/06/13,"2,511,967.00",100.00,"10,765.29",0.00,0.82,0.02,,,,,
,"Partners Group Direct Mezzanine 2011, L.P. Inc. (6",41000846,אירו,30/06/13,"1,414,004.00",100.00,"6,059.86",0.00,0.46,0.01,,,,,
,Partners Group Direct Mezzanine 2013,41000842,אירו,30/06/14,"692,972.00",100.00,"2,969.80",0.00,0.23,0.01,,,,,
,"Partners Group European Buyout 2008 (B), L.P. (7",40000499,אירו,30/06/13,"3,659,496.00",100.00,"15,683.14",0.00,1.20,0.03,,,,,
,"Partners Group European Mezzanine 2008, L.P. (4",40000507,אירו,30/06/13,"5,134,573.00",100.00,"22,004.73",0.00,1.68,0.04,,,,,
,"Partners Group European SMC Buyout 2011, L.P. Inc",40000515,אירו,30/06/13,"4,354,100.00",100.00,"18,659.93",0.00,1.43,0.03,,,,,
,"Pooling Blackstone Capital Partners V, L.P",40000689,אירו,30/06/13,"246,999.00",100.00,"1,058.54",0.00,0.08,0.00,,,,,
,"Pooling Carlyle Partners V, L.P",40000697,אירו,30/06/13,"638,772.00",100.00,"2,737.52",0.00,0.21,0.00,,,,,
,"Pooling KKR 2006 Fund, L.P",40000705,אירו,30/06/13,"375,952.00",100.00,"1,611.18",0.00,0.12,0.00,,,,,
,Pooling Project Bonhomme,41000852,אירו,31/12/13,"1,489,053.00",100.00,"6,381.49",0.00,0.49,0.01,,,,,
,Pooling Project Cirrus,40000713,אירו,30/06/13,"305,942.00",100.00,"1,311.15",0.00,0.10,0.00,,,,,
,Pooling Project Dallas III,40000721,אירו,30/06/13,"661,904.00",100.00,"2,836.66",0.00,0.22,0.01,,,,,
,Pooling Project GPG,40000739,אירו,30/06/13,"269,795.00",100.00,"1,156.23",0.00,0.09,0.00,,,,,
,Pooling Project GT,40000747,אירו,30/06/13,"471,294.00",100.00,"2,019.78",0.00,0.15,0.00,,,,,
,Pooling Project Hg,40000804,אירו,30/09/13,"634,270.00",100.00,"2,718.23",0.00,0.21,0.00,,,,,
,Pooling Project Madrid,41000860,אירו,31/12/15,"553,691.00",100.00,"2,372.90",0.00,0.18,0.00,,,,,
,Pooling Project Poseidon,41000855,אירו,31/12/14,"1,474,778.00",100.00,"6,320.31",0.00,0.48,0.01,,,,,
,Pooling Project Roadrunner,41000856,אירו,31/12/14,"587,943.00",100.00,"2,519.69",0.00,0.19,0.00,,,,,
,Pooling Project Wallaby 5,40000754,אירו,30/06/13,"283,533.00",100.00,"1,215.11",0.00,0.09,0.00,,,,,
,Pooling Project Wallaby 5,41000853,אירו,30/06/13,"907,307.00",100.00,"3,888.35",0.00,0.30,0.01,,,,,
,Pooling Vitruvian Investment Partnership II,41000848,אירו,30/06/14,"772,700.00",100.00,"3,311.48",0.00,0.25,0.01,,,,,
