,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,12.12,,,0.62,"24,895,068,426.10",,"30,283,627.56",,100.00,53.40,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,
,חץ,,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חץ",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,ערד,,,,,,,,,,,,,,,,,,,
,ערד 8802 01.05.28 4.8%- ממשלת ישראל,8288029,RF,מעלות,01/05/13,9.77,שקל חדש,4.80,0.55,"63,867,000.00",151.57,"96,805.29",0.00,0.32,0.17,,,,,
,ערד 8803 02.06.28 4.8%- ממשלת ישראל,8288037,RF,מעלות,02/06/13,9.85,שקל חדש,4.80,0.57,"170,930,000.00",151.23,"258,502.79",0.00,0.85,0.46,,,,,
,ערד 8804 01.07.28 4.8%- ממשלת ישראל,8288045,RF,מעלות,01/07/13,9.93,שקל חדש,4.80,0.57,"162,167,000.00",151.19,"245,185.66",0.00,0.81,0.43,,,,,
,ערד 8806 01.09.28 4.8%- ממשלת ישראל,8288060,RF,מעלות,01/09/13,10.10,שקל חדש,4.80,0.59,"193,288,000.00",150.79,"291,453.98",0.00,0.96,0.51,,,,,
,ערד 8807 01.10.28 4.8%- ממשלת ישראל,8288078,RF,מעלות,01/10/13,10.02,שקל חדש,4.80,0.59,"54,292,000.00",153.13,"83,139.24",0.00,0.27,0.15,,,,,
,ערד 8808 01.11.28 4.8%- ממשלת ישראל,8288086,RF,מעלות,01/11/13,10.11,שקל חדש,4.80,0.58,"267,636,000.00",153.08,"409,690.91",0.00,1.35,0.72,,,,,
,ערד 8809 01.12.28 4.8%- ממשלת ישראל,8288094,RF,מעלות,01/12/13,10.19,שקל חדש,4.80,0.60,"174,736,000.00",152.74,"266,889.88",0.00,0.88,0.47,,,,,
,ערד 8810 01.1.29 4.8%- ממשלת ישראל,8288102,RF,מעלות,01/01/14,10.27,שקל חדש,4.80,0.60,"172,703,000.00",152.68,"263,686.44",0.00,0.87,0.46,,,,,
,ערד 8811 02.2.29 4.8%- ממשלת ישראל,8288110,RF,מעלות,02/02/14,10.36,שקל חדש,4.80,0.60,"116,320,000.00",152.62,"177,529.94",0.00,0.59,0.31,,,,,
,ערד 8812 02.3.29 4.8%- ממשלת ישראל,8288128,RF,מעלות,02/03/14,10.43,שקל חדש,4.80,0.62,"114,469,000.00",152.29,"174,319.63",0.00,0.58,0.31,,,,,
,ערד 8813 01.4.29 4.8%- ממשלת ישראל,8288136,RF,מעלות,01/04/14,10.35,שקל חדש,4.80,0.61,"365,624,000.00",154.63,"565,355.50",0.00,1.87,1.00,,,,,
,ערד 8814 01.5.29 4.8%- ממשלת ישראל,8288144,RF,מעלות,01/05/14,10.44,שקל חדש,4.80,0.61,"220,135,000.00",154.57,"340,262.96",0.00,1.12,0.60,,,,,
,ערד 8815 01.6.29 4.8%- ממשלת ישראל,8288151,RF,מעלות,01/06/14,10.52,שקל חדש,4.80,0.63,"72,671,000.00",154.23,"112,078.78",0.00,0.37,0.20,,,,,
,ערד 8816 01.7.29 4.8%- ממשלת ישראל,8288169,RF,מעלות,01/07/14,10.60,שקל חדש,4.80,0.63,"420,374,000.00",154.17,"648,087.56",0.00,2.14,1.14,,,,,
,ערד 8817 01.8.29 4.8%- ממשלת ישראל,8288177,RF,מעלות,01/08/14,10.69,שקל חדש,4.80,0.63,"54,684,000.00",154.11,"84,272.73",0.00,0.28,0.15,,,,,
,ערד 8818 02.9.29 4.8%- ממשלת ישראל,8288185,RF,מעלות,01/09/14,10.77,שקל חדש,4.80,0.64,"123,187,000.00",153.77,"189,429.07",0.00,0.63,0.33,,,,,
,ערד 8819 02.10.29 4.8%- ממשלת ישראל,8288193,RF,מעלות,01/10/14,10.68,שקל חדש,4.80,0.64,"393,023,000.00",156.11,"613,560.36",0.00,2.03,1.08,,,,,
,ערד 8820 02.11.29 4.8%- ממשלת ישראל,8288201,RF,מעלות,02/11/14,10.77,שקל חדש,4.80,0.64,"188,700,000.00",156.04,"294,445.22",0.00,0.97,0.52,,,,,
,ערד 8821 1.12.29 4.8%- ממשלת ישראל,8288219,RF,מעלות,01/12/14,10.85,שקל חדש,4.80,0.66,"242,178,000.00",155.71,"377,089.68",0.00,1.25,0.66,,,,,
,ערד 8822 1.1.30 4.8%- ממשלת ישראל,8288227,RF,מעלות,01/01/15,10.93,שקל חדש,4.80,0.65,"173,964,000.00",155.63,"270,746.88",0.00,0.89,0.48,,,,,
,ערד 8824 01.03.30 4.8%- ממשלת ישראל,8288243,RF,מעלות,01/03/15,11.09,שקל חדש,4.80,0.67,"266,971,000.00",155.23,"414,414.41",0.00,1.37,0.73,,,,,
,ערד 8825 01.04.30 4.8%- ממשלת ישראל,8288250,RF,מעלות,01/04/15,11.01,שקל חדש,4.80,0.67,"478,975,000.00",157.56,"754,686.23",0.00,2.49,1.33,,,,,
,ערד 8826 01.05.30 4.8%- ממשלת ישראל,8288268,RF,מעלות,01/05/15,11.09,שקל חדש,4.80,0.67,"163,992,000.00",157.50,"258,285.31",0.00,0.85,0.46,,,,,
,ערד 8827 2.6.30 4.8%- ממשלת ישראל,8288276,RF,מעלות,01/06/15,11.17,שקל חדש,4.80,0.68,"100,159,000.00",157.16,"157,411.74",0.00,0.52,0.28,,,,,
,ערד 8828 01.07.30 4.8%- ממשלת ישראל,8288284,RF,מעלות,01/07/15,11.26,שקל חדש,4.80,0.68,"1,884,000.00",157.09,"2,959.52",0.00,0.01,0.01,,,,,
,ערד 8833 01.12.30 4.8%- ממשלת ישראל,8288334,RF,מעלות,01/12/15,11.49,שקל חדש,4.80,0.70,"249,089,000.00",158.59,"395,023.18",0.00,1.30,0.70,,,,,
,ערד 8834 01.01.31 4.8%- ממשלת ישראל,8288342,RF,מעלות,01/01/16,11.58,שקל חדש,4.80,0.70,"32,212,000.00",158.52,"51,061.60",0.00,0.17,0.09,,,,,
,ערד 8835 01.02.31 4.8%- ממשלת ישראל,8288359,RF,מעלות,01/02/16,11.67,שקל חדש,4.80,0.70,"73,139,000.00",158.46,"115,894.18",0.00,0.38,0.20,,,,,
,ערד 8836 1.3.16 4.8%- ממשלת ישראל,8288367,RF,מעלות,01/03/16,11.74,שקל חדש,4.80,0.72,"56,102,000.00",158.11,"88,703.35",0.00,0.29,0.16,,,,,
,"סה""כ ערד",,,,,10.65,,,0.63,"5,167,471,000.00",,"8,000,972.02",,26.42,14.11,,,,,
,מירון,,,,,,,,,,,,,,,,,,,
,מירון 8283- ממשלת ישראל,8182834,RF,מעלות,01/04/96,0.00,שקל חדש,5.50,-0.84,"3,440,000.00",171.13,"5,887.00",0.00,0.02,0.01,,,,,
,מירון 8284- ממשלת ישראל,8182842,RF,מעלות,01/05/96,0.08,שקל חדש,5.50,-0.84,"7,850,000.00",169.58,"13,311.86",0.00,0.04,0.02,,,,,
,מירון 8285- ממשלת ישראל,8182859,RF,מעלות,02/06/96,0.17,שקל חדש,5.50,-0.84,"9,247,540.00",166.94,"15,437.95",0.00,0.05,0.03,,,,,
,מירון 8286- ממשלת ישראל,8182867,RF,מעלות,01/07/96,0.25,שקל חדש,5.50,-0.84,"22,090,000.00",164.26,"36,284.63",0.00,0.12,0.06,,,,,
,מירון 8287- ממשלת ישראל,8182875,RF,מעלות,01/08/96,0.34,שקל חדש,5.50,-0.84,"8,974,900.00",163.19,"14,645.99",0.00,0.05,0.03,,,,,
,מירון 8288- ממשלת ישראל,8182883,RF,מעלות,01/09/96,0.42,שקל חדש,5.50,-0.67,"9,200,000.00",162.72,"14,970.46",0.00,0.05,0.03,,,,,
,מירון 8289- ממשלת ישראל,8182891,RF,מעלות,01/10/96,0.49,שקל חדש,5.50,-0.67,"4,250,000.00",166.56,"7,078.63",0.00,0.02,0.01,,,,,
,מירון 8290- ממשלת ישראל,8182909,RF,מעלות,01/11/96,0.58,שקל חדש,5.50,-0.67,"9,800,000.00",165.94,"16,261.91",0.00,0.05,0.03,,,,,
,מירון 8291- ממשלת ישראל,8182917,RF,מעלות,01/12/96,0.66,שקל חדש,5.50,-0.51,"9,227,000.00",164.56,"15,184.05",0.00,0.05,0.03,,,,,
,מירון 8292- ממשלת ישראל,8182925,RF,מעלות,01/01/97,0.74,שקל חדש,5.50,-0.51,"7,800,000.00",163.59,"12,760.05",0.00,0.04,0.02,,,,,
,מירון 8293- ממשלת ישראל,8182933,RF,מעלות,02/02/97,0.83,שקל חדש,5.50,-0.51,"13,600,000.00",162.41,"22,087.37",0.00,0.07,0.04,,,,,
,מירון 8294- ממשלת ישראל,8182941,RF,מעלות,02/03/97,0.91,שקל חדש,5.50,-0.38,"7,465,000.00",161.60,"12,063.10",0.00,0.04,0.02,,,,,
,מירון 8295- ממשלת ישראל,8182958,RF,מעלות,01/04/97,0.50,שקל חדש,5.50,-0.38,"8,623,736.00",159.46,"13,751.17",0.00,0.05,0.02,,,,,
,מירון 8296- ממשלת ישראל,8182966,RF,מעלות,01/05/97,0.58,שקל חדש,5.50,-0.41,"21,493,600.00",158.02,"33,963.32",0.00,0.11,0.06,,,,,
,מירון 8297- ממשלת ישראל,8182974,RF,מעלות,01/06/97,0.66,שקל חדש,5.50,-0.35,"23,492,000.00",156.83,"36,842.29",0.00,0.12,0.06,,,,,
,מירון 8298- ממשלת ישראל,8182982,RF,מעלות,01/07/97,0.75,שקל חדש,5.50,-0.37,"18,324,800.00",156.16,"28,616.42",0.00,0.09,0.05,,,,,
,מירון 8299- ממשלת ישראל,8182990,RF,מעלות,01/08/97,0.83,שקל חדש,5.50,-0.39,"14,911,600.00",154.57,"23,049.20",0.00,0.08,0.04,,,,,
,מירון 8300- ממשלת ישראל,8183006,RF,מעלות,01/09/97,0.92,שקל חדש,5.50,-0.30,"24,510,200.00",152.97,"37,493.63",0.00,0.12,0.07,,,,,
,מירון 8301- ממשלת ישראל,8183014,RF,מעלות,01/10/97,0.97,שקל חדש,5.50,-0.32,"10,765,600.00",156.38,"16,835.70",0.00,0.06,0.03,,,,,
,מירון 8302- ממשלת ישראל,8183022,RF,מעלות,02/11/97,1.06,שקל חדש,5.50,-0.33,"19,565,200.00",156.55,"30,628.95",0.00,0.10,0.05,,,,,
,מירון 8303- ממשלת ישראל,8183030,RF,מעלות,01/12/97,1.14,שקל חדש,5.50,-0.27,"18,329,600.00",154.65,"28,347.00",0.00,0.09,0.05,,,,,
,מירון 8304- ממשלת ישראל,8183048,RF,מעלות,01/01/98,1.22,שקל חדש,5.50,-0.27,"19,640,400.00",155.10,"30,462.34",0.00,0.10,0.05,,,,,
,מירון 8305- ממשלת ישראל,8183055,RF,מעלות,01/02/98,1.31,שקל חדש,5.50,-0.28,"36,320,000.00",155.65,"56,533.31",0.00,0.19,0.10,,,,,
,מירון 8306- ממשלת ישראל,8183063,RF,מעלות,01/03/98,1.39,שקל חדש,5.50,-0.26,"26,742,800.00",155.15,"41,491.90",0.00,0.14,0.07,,,,,
,מירון 8307- ממשלת ישראל,8183071,RF,מעלות,01/04/98,1.05,שקל חדש,5.50,-0.27,"10,767,960.00",155.68,"16,763.70",0.00,0.06,0.03,,,,,
,מירון 8308- ממשלת ישראל,8183089,RF,מעלות,03/05/98,1.14,שקל חדש,5.50,-0.28,"35,953,400.00",156.05,"56,104.77",0.00,0.19,0.10,,,,,
,מירון 8309- ממשלת ישראל,8183097,RF,מעלות,01/06/98,1.22,שקל חדש,5.50,-0.29,"40,376,000.00",153.99,"62,176.56",0.00,0.21,0.11,,,,,
,מירון 8310- ממשלת ישראל,8183105,RF,מעלות,01/07/98,1.30,שקל חדש,5.50,-0.30,"18,452,000.00",153.46,"28,315.77",0.00,0.09,0.05,,,,,
,מירון 8311- ממשלת ישראל,8183113,RF,מעלות,03/08/98,1.39,שקל חדש,5.50,-0.31,"7,000,000.00",152.93,"10,704.99",0.00,0.04,0.02,,,,,
,מירון 8312- ממשלת ישראל,8183121,RF,מעלות,01/09/98,1.47,שקל חדש,5.50,-0.30,"12,320,000.00",153.13,"18,865.70",0.00,0.06,0.03,,,,,
,מירון 8313- ממשלת ישראל,8183139,RF,מעלות,01/10/98,1.51,שקל חדש,5.50,-0.30,"65,800,000.00",156.24,"102,804.10",0.00,0.34,0.18,,,,,
