,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,,13.00,,,1.11,"5,436,351,527.00",,"8,172,180.54",,100.00,14.41,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות למדד,,,,,,,,,,,,,,,,,,,,
,גליל,,,,,,,,,,,,,,,,,,,,
,ממשלתי  צמוד 0841- ממשלת ישראל,1120583,TASE,RF,מעלות,30/11/10,19.52,שקל חדש,2.75,1.09,"1,668,431,688.00",145.56,"2,428,569.17",9.76,29.72,4.28,,,,,
,ממשלתי צמוד 0536- ממשלת ישראל,1097708,TASE,RF,מעלות,13/02/07,15.20,שקל חדש,4.01,0.94,"1,276,710,721.00",186.16,"2,376,724.68",7.89,29.08,4.19,,,,,
,ממשלתי צמוד 0545- ממשלת ישראל,1134865,TASE,RF,מעלות,09/07/15,25.14,שקל חדש,1.00,1.16,"134,548,300.00",95.89,"129,018.36",3.08,1.58,0.23,,,,,
,ממשלתי צמודה 1016- ממשלת ישראל,1130483,TASE,RF,מעלות,19/11/15,0.58,שקל חדש,0.10,-0.68,"42,562,713.00",98.50,"41,924.27",0.43,0.51,0.07,,,,,
,"סה""כ גליל",,,,,,17.44,,,1.01,"3,122,253,422.00",,"4,976,236.48",,60.89,8.77,,,,,
,"סה""כ צמודות למדד",,,,,,17.44,,,1.01,"3,122,253,422.00",,"4,976,236.48",,60.89,8.77,,,,,
,לא צמודות,,,,,,,,,,,,,,,,,,,,
,מלווה קצר מועד,,,,,,,,,,,,,,,,,,,,
,מקמ 0626- ממשלת ישראל,8160624,TASE,RF,מעלות,19/06/15,0.19,שקל חדש,0.00,0.11,"111,163,282.00",99.98,"111,141.05",1.01,1.36,0.20,,,,,
,מקמ 0716- ממשלת ישראל,8160715,TASE,RF,מעלות,08/07/15,0.26,שקל חדש,0.00,0.08,"123,380,593.00",99.98,"123,355.92",1.37,1.51,0.22,,,,,
,מקמ 1116- ממשלת ישראל,8161119,TASE,RF,מעלות,04/11/15,0.59,שקל חדש,0.00,0.10,"94,080,285.00",99.94,"94,023.84",1.05,1.15,0.17,,,,,
,מקמ 1216- ממשלת ישראל,8161218,TASE,RF,מעלות,02/12/15,0.68,שקל חדש,0.00,0.09,"194,695,358.00",99.94,"194,578.54",2.16,2.38,0.34,,,,,
,מקמ 516- ממשלת ישראל,8160517,TASE,RF,מעלות,06/05/15,0.09,שקל חדש,0.00,0.22,"71,069,918.00",99.98,"71,055.70",0.65,0.87,0.13,,,,,
,מקמ 816- ממשלת ישראל,8160814,TASE,RF,מעלות,05/08/15,0.34,שקל חדש,0.00,0.09,"99,560,180.00",99.97,"99,530.31",1.11,1.22,0.18,,,,,
,"סה""כ מלווה קצר מועד",,,,,,0.41,,,0.11,"693,949,616.00",,"693,685.36",,8.49,1.22,,,,,
,שחר,,,,,,,,,,,,,,,,,,,,
,ממשלתי שקלי 0217- ממשלת ישראל,1101575,TASE,RF,מעלות,19/09/07,0.91,שקל חדש,5.53,0.10,"762,510.00",105.40,803.69,0.00,0.01,0.00,,,,,
,ממשלתי שקלי 1026- ממשלת ישראל,1099456,TASE,RF,מעלות,26/06/07,8.35,שקל חדש,6.25,1.89,"837,726,270.00",144.04,"1,206,660.92",5.00,14.77,2.13,,,,,
,ממשלתי שקלי 142- ממשלת ישראל,1125400,TASE,RF,מעלות,23/02/12,16.28,שקל חדש,5.50,2.93,"183,709,625.00",146.97,"269,998.04",1.29,3.30,0.48,,,,,
,"סה""כ שחר",,,,,,9.80,,,2.08,"1,022,198,405.00",,"1,477,462.64",,18.08,2.61,,,,,
,גילון,,,,,,,,,,,,,,,,,,,,
,ממשלתי 0817 ריבית משתנה- ממשלת ישראל,1106970,TASE,RF,מעלות,28/12/09,1.42,שקל חדש,0.14,0.19,"92,689,148.00",99.89,"92,587.19",0.60,1.13,0.16,,,,,
,ממשלתי משתנה 0520- ממשלת ישראל,1116193,TASE,RF,מעלות,23/04/10,4.16,שקל חדש,0.14,0.27,"153,695,263.00",99.32,"152,650.14",0.83,1.87,0.27,,,,,
,ממשלתי משתנה 1121- ממשלת ישראל,1127646,TASE,RF,מעלות,27/05/14,5.65,שקל חדש,0.14,0.29,"236,624,259.00",98.99,"234,234.35",2.36,2.87,0.41,,,,,
,"סה""כ גילון",,,,,,4.36,,,0.26,"483,008,670.00",,"479,471.68",,5.87,0.85,,,,,
,"סה""כ לא צמודות",,,,,,6.35,,,1.23,"2,199,156,691.00",,"2,650,619.68",,32.43,4.67,,,,,
,צמודות לדולר,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודות לדולר",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,,13.59,,,1.08,"5,321,410,113.00",,"7,626,856.16",,93.33,13.45,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,,
,ISRAEL 4 1/2 01/43- ממשלת ישראל,US4651387N91,אחר,A+,S P,28/08/13,15.69,דולר אמריקאי,4.50,4.49,"4,000,000.00",107.01,"16,120.59",0.00,0.20,0.03,,,,,
,ISRAEL 4% 30.06.22- ממשלת ישראל,US46513AGA25,אחר,A+,S P,09/02/12,5.82,דולר אמריקאי,4.00,2.73,"16,920,000.00",110.69,"70,535.01",1.13,0.86,0.12,,,,,
,ISRAEL 4.625 03/20- ממשלת ישראל,XS0495946070,אחר,A+,S P,20/06/11,3.83,אירו,4.63,0.58,"67,450,000.00",116.69,"337,319.23",4.50,4.13,0.59,,,,,
,ISRAEL 5 1/8 03/19- ממשלת ישראל,US46513E5Y48,אחר,A+,S P,20/06/11,3.00,דולר אמריקאי,5.13,1.76,"18,480,414.00",110.39,"76,831.83",0.00,0.94,0.14,,,,,
,ISRAEL 6 7/8 10/34- ממשלת ישראל,XS0103500855,אחר,A+,S P,20/06/11,12.22,לירה שטרלינג,6.88,3.83,"890,000.00",143.65,"6,937.99",0.00,0.08,0.01,,,,,
,ISRAEL 7 1/4 12/28- ממשלת ישראל,US465138ZR91,אחר,A+,S P,01/06/11,9.30,דולר אמריקאי,7.25,3.63,"7,201,000.00",138.57,"37,579.73",2.88,0.46,0.07,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,4.80,,,1.39,"114,941,414.00",,"545,324.38",,6.67,0.96,,,,,
,"אג""ח שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח שהנפיקו ממשלות זרות בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,4.80,,,1.39,"114,941,414.00",,"545,324.38",,6.67,0.96,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
