,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.ה. פקדונות מעל 3 חודשים:,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,"מח""מ",סוג מטבע,תנאי ושיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,
,"סה""כ  פקדונות מעל 3 חודשים",,,,,1.12,,,0.94,"1,307,696,882.85",,"2,413,596.22",100.00,4.26,,,,,
,בישראל,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,
,בנהפ 04/09/18- בנק הפועלים,6626410,12,AAA,מעלות,1.43,שקל חדש,5.25,0.30,"1,327,855.49",134.42,"1,784.90",0.07,0.00,,,,,
,בנק הפועלים 5% 2018- בנק הפועלים,6620462,12,AAA,מעלות,2.42,שקל חדש,5.00,0.41,"20,800,000.00",133.91,"27,853.28",1.15,0.05,,,,,
,בנק הפועלים 5% 2019- בנק הפועלים,6620587,12,AAA,מעלות,3.32,שקל חדש,5.00,0.41,"21,000,000.00",137.32,"28,837.20",1.19,0.05,,,,,
,בנק משכן 7/10/2017- בנק הפועלים,6477525,12,AAA,מעלות,1.02,שקל חדש,6.15,0.26,"951,128.76",131.27,"1,248.55",0.05,0.00,,,,,
,טפחות  04/2020 6.6%- בנק מזרחי טפחות,6683288,20,AAA,מעלות,2.39,שקל חדש,6.60,0.39,"12,384,420.63",154.54,"19,138.88",0.79,0.03,,,,,
,טפחות 04/2020 6.6%- בנק מזרחי טפחות,6683296,20,AAA,מעלות,2.45,שקל חדש,6.60,0.37,"8,256,280.43",154.60,"12,764.21",0.53,0.02,,,,,
,טפחות 5% 15.12.2019- בנק מזרחי טפחות,6683361,20,AAA,מעלות,3.46,שקל חדש,5.00,0.43,"30,000,000.00",143.53,"43,059.00",1.78,0.08,,,,,
,טפחות 5.1 22/09/2018- בנק מזרחי טפחות,6683221,20,AAA,מעלות,1.48,שקל חדש,5.10,0.30,"4,218,338.61",133.76,"5,642.45",0.23,0.01,,,,,
,טפחות 5.25 4/09/2018- בנק מזרחי טפחות,6683213,20,AAA,מעלות,1.43,שקל חדש,5.25,0.30,"1,327,855.49",134.42,"1,784.90",0.07,0.00,,,,,
,טפחות פקדון 5% 2020- בנק מזרחי טפחות,6683429,20,AAA,מעלות,4.31,שקל חדש,5.00,0.55,"30,000,000.00",144.31,"43,293.00",1.79,0.08,,,,,
,מזרחי טפחות 5% 2021- בנק מזרחי טפחות,6852040,20,AAA,מעלות,5.12,שקל חדש,5.00,0.71,"30,000,000.00",148.49,"44,547.00",1.85,0.08,,,,,
,פועלים 5% 2017- בנק הפועלים,6620421,12,AAA,מעלות,1.50,שקל חדש,5.00,0.49,"20,541,000.00",130.07,"26,717.68",1.11,0.05,,,,,
,פועלים פקדון 5% 2016- בנק הפועלים,6620603,12,AAA,מעלות,0.55,שקל חדש,5.00,-0.03,"20,160,321.00",127.44,"25,692.31",1.06,0.05,,,,,
,6 הבינלאומי 9.01.2020- בינלאומי,7341761,31,AA+,מעלות,1.90,שקל חדש,6.00,0.42,"1,218,020.42",146.17,"1,780.38",0.07,0.00,,,,,
,6.1 בינלאומי 19.01.2020- בינלאומי,7341795,31,AA+,מעלות,1.92,שקל חדש,6.10,0.41,"612,695.84",146.48,897.48,0.04,0.00,,,,,
,6.13 הבינלאומי 8.2.2020- בינלאומי,7341829,31,AA+,מעלות,1.98,שקל חדש,6.13,0.44,"613,802.76",146.44,898.85,0.04,0.00,,,,,
,6.3 בינלאומי 21.08.2020- בינלאומי,7341977,31,AA+,מעלות,2.26,שקל חדש,6.30,0.48,"2,748,983.71",147.90,"4,065.75",0.17,0.01,,,,,
,בנק לאומי למשכנתאות- לאומי משכנתאות,6020887,10,AA+,מעלות,6.67,שקל חדש,5.80,1.12,"665,179.71",176.77,"1,175.84",0.05,0.00,,,,,
,לאומי משכ 5.3%- לאומי משכנתאות,6021919,10,AA+,מעלות,8.17,שקל חדש,5.30,1.31,"19,000,000.00",166.50,"31,635.00",1.31,0.06,,,,,
,"סה""כ צמוד מדד",,,,,3.58,,,0.53,"225,825,882.85",,"322,816.66",13.37,0.57,,,,,
,לא צמוד,,,,,,,,,,,,,,,,,,
,מזרחי פקדון 14.12.19 7.1%- בנק מזרחי טפחות,76003200,20,AAA,מעלות,3.36,שקל חדש,7.10,1.89,"25,000,000.00",120.56,"30,140.00",1.25,0.05,,,,,
,מזרחי פקדון 25.01.15 7.2%- בנק מזרחי טפחות,74004956,20,AAA,מעלות,3.47,שקל חדש,7.20,1.93,"75,000,000.00",120.52,"90,390.00",3.75,0.16,,,,,
,פיקדון  0.35%  15.6.2016 לאומי- לאומי,76005192,10,AAA,מעלות,0.21,שקל חדש,0.35,0.29,"100,000,000.00",100.29,"100,290.00",4.16,0.18,,,,,
,פיקדון  0.4%  6.7.2016 לאומי- לאומי,74005224,10,AAA,מעלות,0.27,שקל חדש,0.40,0.34,"100,000,000.00",100.31,"100,310.00",4.16,0.18,,,,,
,פיקדון  0.4%  7.9.2016 לאומי- לאומי,74005344,10,AAA,מעלות,0.44,שקל חדש,0.40,0.41,"100,000,000.00",100.22,"100,220.00",4.15,0.18,,,,,
,פיקדון  0.42%  6.10.2016 לאומי- לאומי,74005384,10,AAA,מעלות,0.52,שקל חדש,0.42,0.40,"100,000,000.00",100.21,"100,210.95",4.15,0.18,,,,,
,פיקדון בלל  0.41%  4.11.2016- לאומי,74005440,10,AAA,מעלות,0.60,שקל חדש,0.41,0.37,"100,000,000.00",100.19,"100,190.00",4.15,0.18,,,,,
,"פקדון בל""ל 3.5.16 0.32%- לאומי",76005092,10,AAA,מעלות,0.09,שקל חדש,0.32,0.27,"100,000,000.00",100.29,"100,290.00",4.16,0.18,,,,,
,פיקדון אגוד 0.45%  18/11/2016- אגוד,74005472,13,Aa3,מידרוג,0.64,שקל חדש,0.45,0.41,"30,860,000.00",100.19,"30,918.63",1.28,0.05,,,,,
,"סה""כ לא צמוד",,,,,0.86,,,0.60,"730,860,000.00",,"752,959.58",31.20,1.33,,,,,
,"נקוב במט""ח",,,,,,,,,,,,,,,,,,
,בלל דולר 5.4264% 2019- לאומי,76001528,10,AAA,מעלות,3.27,דולר אמריקאי,5.43,2.45,"25,000,000.00",112.43,"105,852.85",4.39,0.19,,,,,
,לאומי LIBOR+0.63% 14.12.16- לאומי,76004944,10,AAA,מעלות,0.70,דולר אמריקאי,1.13,1.15,"42,067,000.00",100.04,"158,487.69",6.57,0.28,,,,,
,מזרחי פקדון דולר L +0.63% 09/05/16- בנק מזרחי טפחות,76003706,20,AAA,מעלות,0.11,דולר אמריקאי,0.91,1.05,"30,900,000.00",101.45,"118,056.76",4.89,0.21,,,,,
,פיקדון $$ פועלים 10.8.2016 L+0.44%- בנק הפועלים,76004130,12,AAA,מעלות,0.36,דולר אמריקאי,0.78,0.91,"10,975,000.00",100.06,"41,356.65",1.71,0.07,,,,,
,פיקדון $$$  פועלים 29.8.2016 1.45%- בנק הפועלים,76004282,12,AAA,מעלות,0.41,דולר אמריקאי,1.45,1.61,"45,725,000.00",100.79,"173,560.73",7.19,0.31,,,,,
,פיקדון בבנק מזרחי 20.3.2017 L+0.73%- בנק מזרחי טפחות,76005456,20,AAA,מעלות,0.97,דולר אמריקאי,1.35,1.15,"39,524,000.00",100.24,"149,204.62",6.18,0.26,,,,,
,פיקדון דולרי בבנק לאומי 26.09.2016 L+0.48% 	- לאומי,76004418,10,AAA,מעלות,0.49,דולר אמריקאי,0.81,0.84,"35,319,000.00",100.00,"133,011.35",5.51,0.23,,,,,
,פיקדון מזרחי$ L+0.44% 22.6.16- בנק מזרחי טפחות,76003898,20,AAA,מעלות,0.23,דולר אמריקאי,0.72,0.97,"9,100,000.00",100.50,"34,441.95",1.43,0.06,,,,,
,"פקדון $ בל""ל 2.5.16 ליבור + 0.57%- לאומי",76003690,10,AAA,מעלות,0.09,דולר אמריקאי,0.90,1.07,"4,551,000.00",100.13,"17,161.35",0.71,0.03,,,,,
,פקדון לאומי$  22.6.16  L+0.4%- לאומי,76003906,10,AAA,מעלות,0.23,דולר אמריקאי,0.99,1.28,"36,500,000.00",99.96,"137,404.02",5.69,0.24,,,,,
,"פקדון מזרחי$  10.8.16 יעוד מניות חו""ל- בנק מזרחי טפחות",76004122,20,AAA,מעלות,0.36,דולר אמריקאי,0.75,0.94,"34,750,000.00",100.41,"131,405.06",5.44,0.23,,,,,
,"פקדון פועלים$ 11.8.16 יעוד מניות חו""ל- בנק הפועלים",76004138,12,AAA,מעלות,0.36,דולר אמריקאי,0.80,1.01,"36,600,000.00",100.03,"137,876.95",5.71,0.24,,,,,
,"סה""כ נקוב במט""ח",,,,,0.68,,,1.24,"351,011,000.00",,"1,337,819.97",55.43,2.36,,,,,
,"צמודי מט""ח",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודי מט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אחר",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,1.12,,,0.94,"1,307,696,882.85",,"2,413,596.22",100.00,4.26,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,
