,שם המנפיק/שם נייר ערך,קונסורציום כן/לא,"מספר ני""ע",דירוג,שם מדרג,"מח""מ",סוג מטבע,שיעור ריבית ממוצע,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מעלות,שקל חדש
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מידרוג,דולר אמריקאי
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,פנימי,אירו
,"סה""כ הלוואות",,,,,5.99,,,3.25,"1,326,070,213.09",,"1,694,632.98",100.00,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחר,לירה שטרלינג
,בישראל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,כנגד חסכון עמיתים/מבוטחים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070112,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"3,292,000.48",157.24,"5,176.34",0.31,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070120,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"2,561,638.88",152.66,"3,910.60",0.23,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070138,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"3,186,978.95",150.27,"4,789.07",0.28,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070146,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"3,068,980.64",149.99,"4,603.16",0.27,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070153,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"2,704,008.48",149.54,"4,043.57",0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070161,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"2,803,379.41",150.27,"4,212.64",0.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070179,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"1,988,614.00",151.92,"3,021.10",0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070187,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"1,198,483.05",152.99,"1,833.56",0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070195,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"1,205,128.55",153.45,"1,849.27",0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם ב,כן,33407,AA-,פנימי,4.69,שקל חדש,3.76,0.85,"25,219,337.79",116.79,"29,453.66",1.74,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם ב,כן,33571,AA-,פנימי,4.69,שקל חדש,3.76,0.85,"1,085,056.25",115.35,"1,251.61",0.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ב",כן,6189,Aa3,מידרוג,5.90,שקל חדש,4.70,1.27,"14,048,917.64",145.32,"20,415.89",1.20,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,32581,Aa3,מידרוג,7.12,שקל חדש,5.36,1.68,"10,785,564.82",132.02,"14,239.10",0.84,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,32763,Aa3,מידרוג,7.18,שקל חדש,5.13,1.48,"12,764,021.72",130.12,"16,608.55",0.98,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,32946,Aa3,מידרוג,7.18,שקל חדש,4.98,1.62,"21,090,123.92",130.48,"27,518.39",1.62,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,33373,Aa3,מידרוג,7.24,שקל חדש,4.85,1.33,"5,522,083.51",129.28,"7,138.95",0.42,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,33498,Aa3,מידרוג,7.24,שקל חדש,4.85,1.32,"3,592,251.45",129.36,"4,646.94",0.27,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,33506,Aa3,מידרוג,7.24,שקל חדש,4.86,1.36,"9,314,271.02",129.07,"12,021.93",0.71,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,39040,Aa3,מידרוג,7.25,שקל חדש,4.85,1.32,"7,231,816.65",128.04,"9,259.62",0.55,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,39354,Aa3,מידרוג,7.14,שקל חדש,4.85,1.90,"2,827,391.13",122.42,"3,461.29",0.20,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ב",כן,34918,Aa3,מידרוג,7.84,שקל חדש,5.35,1.94,"2,798,450.18",128.69,"3,601.33",0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ב",כן,36640,Aa3,מידרוג,7.50,שקל חדש,5.35,3.51,"573,300.34",114.38,655.74,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ג",כן,34900,Aa3,מידרוג,7.84,שקל חדש,5.35,1.94,"3,360,883.92",128.69,"4,325.12",0.26,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ג",כן,36608,Aa3,מידרוג,7.50,שקל חדש,5.35,3.51,"599,359.38",114.38,685.55,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ד",כן,34777,Aa3,מידרוג,7.84,שקל חדש,5.35,1.94,"3,884,907.37",128.69,"4,999.49",0.30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ד",כן,36632,Aa3,מידרוג,7.50,שקל חדש,5.35,3.51,"703,959.92",114.38,805.19,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ה",כן,36616,Aa3,מידרוג,7.50,שקל חדש,5.35,3.51,"599,359.38",114.38,685.55,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ה",כן,44115,Aa3,מידרוג,7.86,שקל חדש,5.35,1.89,"3,083,612.63",129.18,"3,983.41",0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ו",כן,36624,Aa3,מידרוג,7.50,שקל חדש,5.35,3.51,"469,063.69",114.38,536.52,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ו",כן,44123,Aa3,מידרוג,7.86,שקל חדש,5.35,1.89,"2,902,223.94",129.18,"3,749.09",0.22,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ח",כן,60615184,Aa3,מידרוג,6.57,דולר אמריקאי,4.61,4.07,"12,500,000.00",104.39,"49,141.59",2.90,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ח",כן,60615192,Aa3,מידרוג,3.58,דולר אמריקאי,4.61,2.57,"1,519,113.30",102.88,"5,885.74",0.35,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""ח",כן,60615515,Aa3,מידרוג,3.59,דולר אמריקאי,4.61,4.31,"8,246,617.38",101.53,"31,531.93",1.86,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ס""ב",לא,36723,Aa3,מידרוג,7.61,שקל חדש,3.50,2.37,"22,000,683.95",108.79,"23,934.54",1.41,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם כ""ו",לא,20875,A+,מעלות,4.33,שקל חדש,4.25,3.31,"50,000,000.00",104.19,"52,095.00",3.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,24554,A+,מעלות,7.04,שקל חדש,5.50,1.76,"29,530,208.82",135.21,"39,927.80",2.36,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,24794,A+,מעלות,7.12,שקל חדש,5.50,1.37,"3,283,131.32",134.25,"4,407.60",0.26,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,24828,A+,מעלות,7.11,שקל חדש,5.50,1.41,"1,455,906.35",134.32,"1,955.57",0.12,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,24851,A+,מעלות,7.11,שקל חדש,5.50,1.44,"419,752.18",132.54,556.34,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,24869,A+,מעלות,7.06,שקל חדש,5.50,1.67,"3,697,471.11",131.26,"4,853.30",0.29,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,28415,A+,מעלות,6.99,שקל חדש,5.50,2.04,"506,742.89",127.98,648.53,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,28449,A+,מעלות,6.99,שקל חדש,5.50,2.05,"834,836.65",127.84,"1,067.26",0.06,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,28464,A+,מעלות,6.97,שקל חדש,5.50,2.14,"733,149.99",127.09,931.76,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,28498,A+,מעלות,6.96,שקל חדש,5.50,2.21,"2,285,729.76",126.47,"2,890.76",0.17,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,33084,A+,מעלות,7.11,שקל חדש,5.59,1.37,"1,150,320.97",136.60,"1,571.34",0.09,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,33241,A+,מעלות,7.10,שקל חדש,5.55,1.43,"2,533,080.96",135.78,"3,439.42",0.20,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,33266,A+,מעלות,7.10,שקל חדש,5.66,1.38,"1,180,339.85",137.24,"1,619.90",0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,33290,A+,מעלות,7.11,שקל חדש,5.53,1.40,"4,352,569.46",135.94,"5,916.88",0.35,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,33357,A+,מעלות,7.12,שקל חדש,5.50,1.38,"1,784,243.63",134.17,"2,393.92",0.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,34488,A+,מעלות,7.12,שקל חדש,5.50,1.35,"1,835,897.60",133.37,"2,448.54",0.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,34835,A+,מעלות,7.02,שקל חדש,5.50,1.90,"2,039,110.65",129.24,"2,635.35",0.16,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,34850,A+,מעלות,7.01,שקל חדש,5.50,1.96,"1,383,599.88",128.68,"1,780.42",0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,44131,A+,מעלות,7.03,שקל חדש,5.50,1.85,"1,007,745.03",129.67,"1,306.74",0.08,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,44164,A+,מעלות,7.01,שקל חדש,5.50,1.92,"3,160,984.51",129.03,"4,078.62",0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54015,A+,מעלות,6.94,שקל חדש,5.50,2.30,"1,672,484.51",125.70,"2,102.31",0.12,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54023,A+,מעלות,6.92,שקל חדש,5.50,2.40,"815,496.67",124.91,"1,018.64",0.06,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54031,A+,מעלות,6.91,שקל חדש,5.50,2.45,"210,605.68",124.48,262.16,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54049,A+,מעלות,6.88,שקל חדש,5.50,2.64,"2,396,061.62",122.85,"2,943.56",0.17,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54056,A+,מעלות,6.82,שקל חדש,5.50,2.93,"463,447.11",120.49,558.41,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
