,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,
,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,"סה""כ מניות",,,,,,,"130,255,750.20",,"1,427,635.13",,100.00,2.52
,בישראל,,,,,,,,,,,,
,תל אביב 25,,,,,,,,,,,,
,בינלאומי  5- בינלאומי,593038,TASE,,593,בנקים,שקל חדש,"449,908.00","4,657.00","20,952.22",0.45,1.47,0.04
,פועלים- בנק הפועלים,662577,TASE,,662,בנקים,שקל חדש,"6,406,785.61","1,950.00","124,932.32",0.48,8.75,0.22
,מזרחי טפחות- בנק מזרחי טפחות,695437,TASE,,668,בנקים,שקל חדש,"848,543.00","4,407.00","37,395.29",0.37,2.62,0.07
,דיסקונט א- דיסקונט,691212,TASE,,691,בנקים,שקל חדש,"4,262,314.81",636.00,"27,108.32",0.40,1.90,0.05
,לאומי- לאומי,604611,TASE,,604,בנקים,שקל חדש,"7,782,537.01","1,349.00","104,986.42",0.51,7.35,0.19
,"אורמת טכנולוגיות בע""מ- ORMAT TECHNOLOGIES LTD",1134402,TASE,,2250,השקעות בהיי-טק,שקל חדש,"43,792.00","15,480.00","6,779.00",0.09,0.47,0.01
,אלביט מערכות- אלביט מערכות,1081124,TASE,,1040,השקעות בהיי-טק,שקל חדש,"111,829.00","35,370.00","39,553.92",0.26,2.77,0.07
,נייס- נייס,273011,TASE,,273,השקעות בהיי-טק,שקל חדש,"324,730.00","24,650.00","80,045.95",0.53,5.61,0.14
,חברה לישראל- החברה לישראל,576017,TASE,,576,השקעות ואחזקות,שקל חדש,"28,487.07","63,140.00","17,986.74",0.37,1.26,0.03
,פז נפט- פז חברת נפט,1100007,TASE,,8120,השקעות ואחזקות,שקל חדש,"53,450.00","59,690.00","31,904.31",0.53,2.23,0.06
,קבוצת דלק- קבוצת דלק,1084128,TASE,,1095,השקעות ואחזקות,שקל חדש,"35,298.00","64,440.00","22,746.03",0.29,1.59,0.04
,אבנר יהש- אבנר יהש,268011,TASE,,268,חיפושי נפט וגז,שקל חדש,"8,486,854.00",214.20,"18,178.84",0.25,1.27,0.03
,דלק קידוחים יהש- דלק קידוחים,475020,TASE,,8306,חיפושי נפט וגז,שקל חדש,"1,277,893.00","1,105.00","14,120.72",0.23,0.99,0.02
,ישראמקו- ישראמקו,232017,TASE,,232,חיפושי נפט וגז,שקל חדש,"65,754,283.00",64.40,"42,345.76",0.51,2.97,0.07
,אופקו- אופקו,1129543,TASE,,9052,מכשור רפואי,שקל חדש,"1,014,939.00","3,785.00","38,415.44",0.19,2.69,0.07
,מיילן- MYLAN NV,1136704,TASE,,9135,מסחר,שקל חדש,"15,055.00","17,270.00","2,600.00",0.00,0.18,0.00
,פריגו,1130699,TASE,,1233,מסחר,שקל חדש,"274,309.00","48,520.00","133,094.73",0.20,9.32,0.23
,אסם- אסם,304014,TASE,,304,מסחר,שקל חדש,"110,140.00","8,213.00","9,045.80",0.10,0.63,0.02
,טבע- טבע,629014,TASE,,629,מסחר,שקל חדש,"794,036.00","20,270.00","160,951.10",0.08,11.27,0.28
,כיל- כיל,281014,TASE,,281,מסחר,שקל חדש,"2,988,109.00","1,635.00","48,855.58",0.23,3.42,0.09
,פרוטרום- פרוטרום,1081082,TASE,,1037,מסחר,שקל חדש,"171,796.00","19,700.00","33,843.81",0.29,2.37,0.06
,שטראוס-עלית- שטראוס עלית,746016,TASE,,746,מסחר,שקל חדש,"198,954.00","5,633.00","11,207.08",0.19,0.79,0.02
,גזית גלוב- גזית גלוב,126011,TASE,,126,"נדל""ן ובינוי",שקל חדש,"807,764.35","3,429.00","27,698.24",0.41,1.94,0.05
,מליסרון- מליסרון,323014,TASE,,323,"נדל""ן ובינוי",שקל חדש,"71,128.00","13,530.00","9,623.62",0.16,0.67,0.02
,"עזריאלי קבוצה- קבוצת עזריאלי בע""מ",1119478,TASE,,8434,"נדל""ן ובינוי",שקל חדש,"104,711.00","14,750.00","15,444.87",0.09,1.08,0.03
,בזק- בזק,230011,TASE,,230,שירותים,שקל חדש,"12,095,964.00",847.50,"102,513.29",0.44,7.18,0.18
,"סה""כ תל אביב 25",,,,,,,"114,513,609.85",,"1,182,329.38",,82.82,2.08
,תל אביב 75,,,,,,,,,,,,
,"פוקס ויזל מ""ר- פוקס",1087022,TASE,,1140,אופנה והלבשה,שקל חדש,"21,192.00","5,651.00","1,197.56",0.16,0.08,0.00
,איידיאיי ביטוח- איי.די.איי חברה לביטוח,1129501,TASE,,1608,ביטוח,שקל חדש,"9,331.00","19,200.00","1,791.55",0.06,0.13,0.00
,הראל השקעות- הראל השקעות,585018,TASE,,9067,ביטוח,שקל חדש,"513,732.00","1,435.00","7,372.05",0.24,0.52,0.01
,כלל עסקי ביטוח- כלל חברה לביטוח,224014,TASE,,224,ביטוח,שקל חדש,"62,699.00","4,320.00","2,708.60",0.11,0.19,0.00
,מגדל ביטוח- מגדל ביטוח,1081165,TASE,,1041,ביטוח,שקל חדש,"1,199,424.00",261.00,"3,130.50",0.11,0.22,0.01
,אגוד- אגוד,722314,TASE,,722,בנקים,שקל חדש,"5,985.00","1,368.00",81.87,0.01,0.01,0.00
,פ.י.ב.י מר- פיבי,763011,TASE,,763,בנקים,שקל חדש,"50,903.86","5,273.00","2,684.16",0.14,0.19,0.00
,טאואר- טאואר,1082379,TASE,,9105,השקעות בהיי-טק,שקל חדש,"164,784.88","4,632.00","7,632.84",0.19,0.53,0.01
,מטריקס- מטריקס,445015,TASE,,445,השקעות בהיי-טק,שקל חדש,"235,797.00","2,405.00","5,670.92",0.39,0.40,0.01
,אלקטרה- אלקטרה,739037,TASE,,739,השקעות ואחזקות,שקל חדש,"11,210.00","51,290.00","5,749.61",0.31,0.40,0.01
,מבטח שמיר- מבטח שמיר,127019,TASE,,127,השקעות ואחזקות,שקל חדש,"12,793.00","7,408.00",947.71,0.12,0.07,0.00
,קנון- קנון,1134139,TASE,,9103,השקעות ואחזקות,שקל חדש,"73,715.49","2,977.00","2,194.51",0.14,0.15,0.00
,רציו יהש- רציו חיפושי נפט,394015,TASE,,394,חיפושי נפט וגז,שקל חדש,"8,003,514.00",23.00,"1,840.81",0.10,0.13,0.00
,קומפיוגן- קומפיוגן,1085208,TASE,,2188,מכשור רפואי,שקל חדש,"54,631.00","2,121.00","1,158.72",0.11,0.08,0.00
,בזן- בזן בתי זיקוק לנפט,2590248,TASE,,259,מסחר,שקל חדש,"896,946.00",144.00,"1,291.60",0.03,0.09,0.00
,דלתא- דלתא גליל,627034,TASE,,627,מסחר,שקל חדש,"5,599.00","10,190.00",570.54,0.02,0.04,0.00
,ארפורט סיטי- איירפורט סיטי,1095835,TASE,,1300,"נדל""ן ובינוי",שקל חדש,"76,417.12","3,676.00","2,809.09",0.07,0.20,0.00
,ביג- ביג מרכזי קניות,1097260,TASE,,1327,"נדל""ן ובינוי",שקל חדש,"4,351.00","21,250.00",924.59,0.03,0.06,0.00
,גב ים  1- גב ים,759019,TASE,,759,"נדל""ן ובינוי",שקל חדש,"1,169.00","129,700.00","1,516.19",0.06,0.11,0.00
,נורסטאר החזקות אינק- נורסטאר החזקות אינכ,723007,TASE,,723,"נדל""ן ובינוי",שקל חדש,"37,289.00","5,328.00","1,986.76",0.14,0.14,0.00
,שיכון ובינוי- שיכון ובינוי,1081942,TASE,,1068,"נדל""ן ובינוי",שקל חדש,"1,449,612.00",667.00,"9,668.91",0.36,0.68,0.02
,"שפיר הנדסה ותעשיה בע""מ",1133875,TASE,,9100,"נדל""ן ובינוי",שקל חדש,"116,092.00",601.80,698.64,0.03,0.05,0.00
,דלק רכב- דלק רכב,829010,TASE,,829,שירותים,שקל חדש,"67,101.00","3,634.00","2,438.45",0.07,0.17,0.00
,פרטנר- פרטנר,1083484,TASE,,2095,שירותים,שקל חדש,"136,863.00","1,765.00","2,415.63",0.09,0.17,0.00
,רמי לוי- רמי לוי שיווק השקמה,1104249,TASE,,8264,שירותים,שקל חדש,"9,193.00","14,590.00","1,341.26",0.07,0.09,0.00
,שופרסל- שופרסל,777037,TASE,,777,שירותים,שקל חדש,"478,517.00","1,262.00","6,038.88",0.23,0.42,0.01
,דש איפקס- דש איפקס,1081843,TASE,,1064,שירותים פיננסיים,שקל חדש,"128,933.00","1,089.00","1,404.08",0.19,0.10,0.00
,"סה""כ תל אביב 75",,,,,,,"13,827,794.35",,"77,266.04",,5.41,0.14
,מניות היתר,,,,,,,,,,,,
,נייר חדרה- נייר חדרה,632018,TASE,,632,מסחר,שקל חדש,"16,359.00","10,620.00","1,737.33",0.26,0.12,0.00
,מגדלי תיכון מר- מגדלי הים התיכון,1131523,TASE,,9061,"נדל""ן ובינוי",שקל חדש,"20,893.00",458.00,95.69,0.01,0.01,0.00
,אשטרום- קבוצת אשטרום,1132315,TASE,,1618,"נדל""ן ובינוי",שקל חדש,"355,837.00",871.30,"3,100.41",0.43,0.22,0.01
,"אלקטרה מ.צריכה (1970) מר- אלקטרה מוצרי צריכה בע""מ",5010129,TASE,,8475,שירותים,שקל חדש,"105,246.00","3,100.00","3,262.63",0.49,0.23,0.01
,סקופ- סקופ,288019,TASE,,288,שירותים,שקל חדש,"84,511.00","4,400.00","3,718.48",0.78,0.26,0.01
,"סה""כ מניות היתר",,,,,,,"582,846.00",,"11,914.53",,0.83,0.02
,call 001 אופציות,,,,,,,,,,,,
,0,0,,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,"סה""כ call 001 אופציות",,,,,,,0.00,,0.00,,0.00,0.00
,"סה""כ בישראל",,,,,,,"128,924,250.20",,"1,271,509.95",,89.06,2.24
,"בחו""ל",,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,
,NVMI US- נובה מכשירי מדידה,IL0010845571,NASDAQ,בלומברג,2177,חשמל,דולר אמריקאי,"12,804.00","1,041.00",501.97,0.05,0.04,0.00
,MAZOR ROBOTICS LTD-SPON ADR- מזור רובוטיקה,US57886P1030,NASDAQ,בלומברג,1487,מכשור רפואי,דולר אמריקאי,"3,731.00","1,244.00",174.79,0.02,0.01,0.00
,CGEN US- קומפיוגן,IL0010852080,NASDAQ,בלומברג,2188,מכשור רפואי,דולר אמריקאי,"45,521.00",558.00,956.59,0.09,0.07,0.00
,EVGN US- אבוג'ן,IL0011050551,NASDAQ,בלומברג,1461,מסחר,דולר אמריקאי,"11,504.00",651.00,282.04,0.05,0.02,0.00
,Opko Health Inc- אופקו,US68375N1037,NYSE,בלומברג,9052,מסחר,דולר אמריקאי,"590,965.00","1,039.00","23,123.72",0.11,1.62,0.04
,Teva US- טבע,US8816242098,NYSE,בלומברג,629,מסחר,דולר אמריקאי,"26,379.00","5,351.00","5,315.86",0.00,0.37,0.01
,CHECK POINT- Check point software,IL0010824113,NASDAQ,בלומברג,9112,תוכנה ואינטרנט,דולר אמריקאי,"21,679.00","8,747.00","7,141.32",0.01,0.50,0.01
,Allot Communication US- אלוט תקשורת,IL0010996549,NASDAQ,בלומברג,2252,תוכנה ואינטרנט,דולר אמריקאי,"5,149.00",523.00,101.42,0.02,0.01,0.00
,"סה""כ חברות ישראליות בחו""ל",,,,,,,"717,732.00",,"37,597.71",,2.63,0.07
,"חברות זרות בחו""ל",,,,,,,,,,,,
,MYL US- MYLAN NV,NL0011031208,NASDAQ,בלומברג,9135,מסחר,דולר אמריקאי,"329,058.00","4,635.00","57,438.42",0.07,4.02,0.10
,ORA US- ORMAT TECHNOLOGIES LTD,US6866881021,NYSE,בלומברג,2250,מסחר,דולר אמריקאי,"167,783.00","4,124.00","26,058.35",0.34,1.83,0.05
,Perrigo Co PLC US- PERRIGO,IE00BGH1M568,NASDAQ,בלומברג,1233,מסחר,דולר אמריקאי,"48,962.00","12,793.00","23,589.13",0.03,1.65,0.04
,AMDOCS- AMDOCS,GB0022569080,NASDAQ,בלומברג,9113,תוכנה ואינטרנט,דולר אמריקאי,"28,456.00","6,042.00","6,474.93",0.02,0.45,0.01
,VERINT US- VERINT,US92343X1000,NASDAQ,בלומברג,9116,תוכנה ואינטרנט,דולר אמריקאי,"39,509.00","3,338.00","4,966.64",0.06,0.35,0.01
,"סה""כ חברות זרות בחו""ל",,,,,,,"613,768.00",,"118,527.47",,8.30,0.21
,"סה""כ בחו""ל",,,,,,,"1,331,500.00",,"156,125.18",,10.94,0.28
,בעל ענין/צד קשור *,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
