,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,
,החברה המדווחת,בניין פנסיה,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,בנין פנסיה,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,360,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,
,"סה""כ מניות",,,,,,"31,089,595.57",,"42,955.25",,100.00,0.89,,,,,
,בישראל,,,,,,,,,,,,,,,,
,בניני האומה מר- בניני האומה,44024,,8350,אחר,שקל חדש,50.00,0.01,0.00,0.00,0.00,0.00,,,,,
,"חברת קרן באר שבע - מנית יסוד- חברת קרן באר שבע בע""מ*",31000185,,8376,אחר,שקל חדש,1.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"חברת קרן באר שבע בעמ - מ- חברת קרן באר שבע בע""מ*",31000193,,8376,אחר,שקל חדש,1.00,"613,039,400.00","6,130.39",0.00,14.27,0.13,,,,,
,ניר למושבה מר- ניר למושבה,797027,,8358,אחר,שקל חדש,2.50,0.01,0.00,0.00,0.00,0.00,,,,,
,"עובדי בנין (ק.פ.ב.) בעמ -- עובדי בנין (ק.פ.ב) בע""מ*",31000243,,8378,אחר,שקל חדש,20.00,0.00,0.00,0.00,0.00,0.00,,,,,
,ק.השק מר א'- ק השקעות מר,729715,,8365,אחר,שקל חדש,1.16,0.01,0.00,0.00,0.00,0.00,,,,,
,"חברת שיקום הפרשה להפסד- שקום פועלי בנין חברה בע""מ*",31000260,,8373,אחר,שקל חדש,"-459,358.00",100.00,-459.36,0.00,-1.07,-0.01,,,,,
,"שקום פועלי בנין - מניות יסוד- שקום פועלי בנין חברה בע""מ*",31000128,,8373,אחר,שקל חדש,1.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"שקום פועלי בנין -מר- שקום פועלי בנין חברה בע""מ*",31000136,,8373,אחר,שקל חדש,"360,002.00",0.00,0.00,0.00,0.00,0.00,,,,,
,קופת פועלים פלחים- קופת פועלים פלחים,23267,,8366,השקעות ואחזקות,שקל חדש,2.00,0.01,0.00,0.00,0.00,0.00,,,,,
,ק.השק -בכ'ב- קרן השקעות,729996,,8043,השקעות ואחזקות,שקל חדש,735.00,0.01,0.00,0.00,0.00,0.00,,,,,
,"הלוואת בניין לח.שיקום 14.12.11- שקום פועלי בנין חברה בע""מ*",61000345,,8373,"נדל""ן ובינוי",שקל חדש,"3,995,938.08",117.00,"4,675.17",0.00,10.88,0.10,,,,,
,"שיקום פועלי בניין -שה 2004 חדש- שקום פועלי בנין חברה בע""מ*",61000169,,8373,"נדל""ן ובינוי",שקל חדש,"2,588,622.06",119.92,"3,104.29",0.00,7.23,0.06,,,,,
,"שיקום פועלי בניין- שה 2005 חדש- שקום פועלי בנין חברה בע""מ*",61000177,,8373,"נדל""ן ובינוי",שקל חדש,"2,315,530.95",119.92,"2,776.80",0.00,6.46,0.06,,,,,
,"שיקום פועליי בניין שה 2003 חדש- שקום פועלי בנין חברה בע""מ*",61000151,,8373,"נדל""ן ובינוי",שקל חדש,"3,343,692.48",119.92,"4,009.78",0.00,9.33,0.08,,,,,
,"שקום פועלי בנין - שה 1999 חדש- שקום פועלי בנין חברה בע""מ*",61000144,,8373,"נדל""ן ובינוי",שקל חדש,"18,944,354.34",119.92,"22,718.19",0.00,52.89,0.47,,,,,
,"סה""כ בישראל",,,,,,"31,089,595.57",,"42,955.25",,100.00,0.89,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חברות ישראליות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,,,,
,"חברות זרות בחו""ל",,,,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חברות זרות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
