,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,בניין פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,בנין פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,360,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,6.33,,,0.30,"3,092,235,113.29",,"3,813,404.07",,100.00,78.73,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,
,חץ,,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חץ",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,ערד,,,,,,,,,,,,,,,,,,,
,ערד 8774 02.01.26 4.8%- ממשלת ישראל,8287740,RF,מעלות,02/01/11,8.19,שקל חדש,4.80,0.38,"175,714,000.00",149.16,"262,087.73",0.00,6.87,5.41,,,,,
,ערד 8798 01.01.28 4.8%- ממשלת ישראל,8287989,RF,מעלות,01/01/13,9.59,שקל חדש,4.80,0.54,"10,016,000.00",149.67,"14,991.37",0.00,0.39,0.31,,,,,
,ערד 8799 01.02.28 4.8%- ממשלת ישראל,8287997,RF,מעלות,01/02/13,9.68,שקל חדש,4.80,0.54,"92,507,000.00",149.61,"138,401.85",0.00,3.63,2.86,,,,,
,ערד 8808 01.11.28 4.8%- ממשלת ישראל,8288086,RF,מעלות,01/11/13,10.11,שקל חדש,4.80,0.58,"8,063,000.00",153.08,"12,342.65",0.00,0.32,0.25,,,,,
,ערד 8810 01.1.29 4.8%- ממשלת ישראל,8288102,RF,מעלות,01/01/14,10.27,שקל חדש,4.80,0.60,"28,306,000.00",152.68,"43,218.17",0.00,1.13,0.89,,,,,
,ערד 8811 02.2.29 4.8%- ממשלת ישראל,8288110,RF,מעלות,02/02/14,10.36,שקל חדש,4.80,0.60,"90,698,000.00",152.62,"138,425.12",0.00,3.63,2.86,,,,,
,ערד 8814 01.5.29 4.8%- ממשלת ישראל,8288144,RF,מעלות,01/05/14,10.44,שקל חדש,4.80,0.61,"36,875,000.00",154.57,"56,997.74",0.00,1.49,1.18,,,,,
,ערד 8822 1.1.30 4.8%- ממשלת ישראל,8288227,RF,מעלות,01/01/15,10.93,שקל חדש,4.80,0.65,"14,468,000.00",155.63,"22,517.11",0.00,0.59,0.46,,,,,
,"סה""כ ערד",,,,,9.40,,,0.51,"456,647,000.00",,"688,981.74",,18.07,14.22,,,,,
,מירון,,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ מירון",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"פיקדונות חשכ""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ פיקדונות חשכ""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,,
,בניין ס.מ.ישיר 31.12.15- ממשלת ישראל,7893494,RF,מעלות,31/03/16,5.65,שקל חדש,0.00,0.26,"2,635,588,113.29",118.55,"3,124,422.34",0.00,81.93,64.51,,,,,
,"סה""כ אחר",,,,,5.65,,,0.26,"2,635,588,113.29",,"3,124,422.34",,81.93,64.51,,,,,
,"סה""כ בישראל",,,,,6.33,,,0.30,"3,092,235,113.29",,"3,813,404.07",,100.00,78.73,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,
