,ערד 8825 01.04.30 4.8%- ממשלת ישראל,8288250,RF,מעלות,01/04/15,11.01,שקל חדש,4.80,0.67,"3,743,000.00",157.56,"5,897.57",0.00,0.21,0.18,,,,,
,ערד 8835 01.02.31 4.8%- ממשלת ישראל,8288359,RF,מעלות,01/02/16,11.67,שקל חדש,4.80,0.70,"9,147,000.00",158.46,"14,494.10",0.00,0.52,0.45,,,,,
,"סה""כ ערד",,,,,9.78,,,0.54,"206,759,000.00",,"314,404.45",,11.38,9.70,,,,,
,מירון,,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ מירון",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"פיקדונות חשכ""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ פיקדונות חשכ""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,,
,חקלאים ס.מ.ישיר 31.12.15- ממשלת ישראל,7893495,RF,מעלות,31/03/16,8.86,שקל חדש,0.00,0.58,"2,143,740,157.43",114.16,"2,447,374.49",0.00,88.62,75.51,,,,,
,"סה""כ אחר",,,,,8.86,,,0.58,"2,143,740,157.43",,"2,447,374.49",,88.62,75.51,,,,,
,"סה""כ בישראל",,,,,8.97,,,0.58,"2,350,499,157.43",,"2,761,778.94",,100.00,85.22,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,
