,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,307,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
,"סה""כ אגרות חוב קונצרניות",,,,,,,,,1.18,,,-0.13,"34,211,977.44",,"35,659.97",,100.00,1.10,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות מדד,,,,,,,,,,,,,,,,,,,,
,לאומי מימון 176- לאומי,6040208,TASE,,604,בנקים,AAA,מעלות,17/12/14,0.33,שקל חדש,5.05,-1.00,"191,551.00",135.67,259.88,0.08,0.73,0.01,,
,מזרחי טפחות הנפ. 33- בנק מזרחי טפחות,2310092,TASE,,668,בנקים,AAA,מעלות,06/03/13,0.03,שקל חדש,2.60,1.71,"3,041,853.00",105.73,"3,216.15",0.13,9.02,0.10,,
,מזרחי טפחות הנפקות  36- בנק מזרחי טפחות,2310126,TASE,,668,בנקים,AAA,מעלות,21/08/15,1.42,שקל חדש,0.00,-0.63,"18,394,622.00",99.09,"18,227.23",1.00,51.11,0.56,,
,טפחות הנפ התח27- בנק מזרחי טפחות,2310035,TASE,,668,בנקים,AA+,מעלות,14/07/15,0.67,שקל חדש,5.50,-0.45,"16,506.00",134.88,22.26,0.01,0.06,0.00,,
,לאומי כ. התחייבות ג- לאומי,6040182,TASE,,604,בנקים,AA+,מעלות,06/03/13,0.25,שקל חדש,4.90,-0.57,"594,528.00",135.62,806.30,0.12,2.26,0.02,,
,לאומי כ.התחייבות סדרה ח- לאומי,6040232,TASE,,604,בנקים,AA+,מעלות,14/07/15,1.09,שקל חדש,4.40,0.27,"1,496,121.02",123.29,"1,844.57",0.12,5.17,0.06,,
,לאומי מימון כ.התחייבות יב- לאומי,6040273,TASE,,604,בנקים,AA+,מעלות,20/07/15,1.42,שקל חדש,2.60,0.19,"3,751,065.00",110.35,"4,139.30",0.11,11.61,0.13,,
,מזרחי טפח.כ.התחייבות 30- בנק מזרחי טפחות,2310068,TASE,,668,בנקים,AA+,מעלות,30/09/15,1.12,שקל חדש,3.90,0.35,"424,041.00",127.07,538.83,0.03,1.51,0.02,,
,פועלים כ.ה.נדחה ד- בנק הפועלים,1940105,TASE,,662,בנקים,AA+,מעלות,14/07/15,0.22,שקל חדש,5.19,-0.76,"25,790.00",136.57,35.22,0.01,0.10,0.00,,
,פועלים כ.התחייבות ט- בנק הפועלים,1940386,TASE,,662,בנקים,AA+,מעלות,15/10/15,1.21,שקל חדש,4.70,0.23,"78,704.10",126.29,99.40,0.03,0.28,0.00,,
