,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ד. הלוואות:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,קונסורציום כן/לא,"מספר ני""ע",דירוג,שם מדרג,"מח""מ",סוג מטבע,שיעור ריבית ממוצע,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מעלות,שקל חדש
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מידרוג,דולר אמריקאי
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,פנימי,אירו
,"סה""כ הלוואות",,,,,6.02,,,3.20,"4,250,420,351.53",,"5,427,073.67",100.00,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחר,לירה שטרלינג
,בישראל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,כנגד חסכון עמיתים/מבוטחים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ כנגד חסכון עמיתים/מבוטחים",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מבוטחות במשכנתא או תיקי משכנתאות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מבוטחות במשכנתא או תיקי משכנתאות",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מובטחות בערבות בנקאית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מובטחות בערבות בנקאית",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מובטחות בבטחונות אחרים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070013,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"10,164,522.25",163.20,"16,588.50",0.31,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070021,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"391,134.95",162.43,635.32,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070039,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"4,400,618.96",163.97,"7,215.69",0.13,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070047,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"5,043,011.06",162.28,"8,183.80",0.15,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070054,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"5,885,143.59",162.28,"9,550.41",0.18,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070062,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"5,966,397.22",162.28,"9,682.27",0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070070,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"5,603,815.04",163.56,"9,165.60",0.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070088,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"1,423,232.20",161.13,"2,293.25",0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070096,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"18,445,531.16",159.55,"29,429.84",0.54,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070104,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"12,251,207.17",160.02,"19,604.38",0.36,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070112,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"9,083,428.17",157.24,"14,282.78",0.26,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070120,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"7,068,182.95",152.66,"10,790.29",0.20,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070138,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"8,793,648.20",150.27,"13,214.22",0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070146,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"8,468,059.39",149.99,"12,701.24",0.23,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070153,Aa2,מידרוג,5.66,שקל חדש,5.17,1.29,"7,461,016.46",149.54,"11,157.20",0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070161,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"7,735,204.12",150.27,"11,623.69",0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070179,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"5,487,066.59",151.92,"8,335.95",0.15,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070187,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"3,306,906.63",152.99,"5,059.24",0.09,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ג",כן,8070195,Aa2,מידרוג,5.65,שקל חדש,5.17,1.29,"3,325,240.42",153.45,"5,102.58",0.09,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם מ""א",כן,6205,AA,מעלות,6.60,שקל חדש,4.46,2.53,"257,882,530.15",128.77,"332,084.62",6.12,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם ב,כן,33407,AA-,פנימי,4.69,שקל חדש,3.76,0.85,"74,869,243.99",116.79,"87,439.79",1.61,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם ב,כן,33571,AA-,פנימי,4.69,שקל חדש,3.76,0.85,"3,221,232.14",115.35,"3,715.69",0.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ב",כן,6189,Aa3,מידרוג,5.90,שקל חדש,4.70,1.27,"44,116,533.85",145.32,"64,110.15",1.18,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,32581,Aa3,מידרוג,7.12,שקל חדש,5.36,1.68,"33,357,415.27",132.02,"44,038.46",0.81,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,32763,Aa3,מידרוג,7.18,שקל חדש,5.13,1.48,"39,476,355.88",130.12,"51,366.63",0.95,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גורם מ',כן,32946,Aa3,מידרוג,7.18,שקל חדש,4.98,1.62,"65,227,188.62",130.48,"85,108.44",1.57,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
