,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,
,6. קרנות נאמנות,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,
,"סה""כ תעודות השתתפות בקרנות נאמנות",,,,,,,,"172,756,418.00",,"8,521,135.99",,100.00,4.41,,
,תעודות השתתפות בקרנות נאמנות בישראל,,,,,,,,,,,,,,,
,0,0,,,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ תעודות השתתפות בקרנות נאמנות בישראל",,,,,,,,0.00,,0.00,,0.00,0.00,,
,"תעודות השתתפות בקרנות נאמנות בחו""ל",,,,,,,,,,,,,,,
,ABERDEEN GL EMMKT EQTY I2- Aberdeen Asset Management,LU0231479717,אחר,8328,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"935,450.54","6,159.09","216,979.00",3.79,2.55,0.11,,
,ABERDEEN GL- JAPAN- Aberdeen Asset Management,LU0231474593,אחר,8328,"אג""ח מובנות",0,לא מדורג,יין יפני,"46,944.28","9,217,238.09","145,083.17",5.12,1.70,0.08,,
,ACS GLOBAL EQUITY FUNDS- Heptagon  Capital LLP,KYG4506E1035,אחר,8396,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"228,683.84","15,095.00","130,001.66",0.00,1.53,0.07,,
,Alken European Opportunities- Alken,LU0235308482,אחר,9021,"אג""ח מובנות",0,לא מדורג,אירו,"578,415.76","19,067.00","472,643.97",0.00,5.55,0.24,,
,Allianz Europe Growth RCMEWTE LX- Allianz,LU0256883504,אחר,9084,"אג""ח מובנות",0,לא מדורג,אירו,"36,359.67","206,438.00","321,677.89",8.62,3.78,0.17,,
,Artemis Global Income- ARTEMIS,GB00B5ZX1M70,אחר,8275,"אג""ח מובנות",0,לא מדורג,לירה שטרלינג,"48,230,359.31",100.29,"262,500.39",0.00,3.08,0.14,,
,Blackrock EM Index,IE00B3D07N99,ISE,8464,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"1,282,626.37","1,197.20","57,829.20",0.00,0.68,0.03,,
,DB PLATINUM CROCI SECTOR-I2C- DEUTSCHE BANK,LU0419225080,אחר,8229,"אג""ח מובנות",0,לא מדורג,אירו,"419,732.61","27,692.00","498,125.38",49.77,5.85,0.26,,
,DB Platinum Croci US- DEUTSCHE BANK,LU0194165345,אחר,8229,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"437,263.45","24,467.00","402,906.45",23.50,4.73,0.21,,
,Edgewood US Select- Edgewood,LU0952587862,אחר,9139,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"362,087.15","13,994.00","190,825.01",7.18,2.24,0.10,,
,EDRAM ESF FCP- Edmond de Rothschild,FR0011789627,אחר,8324,"אג""ח מובנות",0,לא מדורג,אירו,"702,923.40","11,047.00","332,785.19",61.35,3.91,0.17,,
,GVF FCP- Edmond de Rothschild,FR0012833663,אחר,8324,"אג""ח מובנות",0,לא מדורג,אירו,"239,993.74","9,069.00","93,276.22",60.98,1.09,0.05,,
,Investec UK Alpha- Investec,GB00B7LM4J06,אחר,9125,"אג""ח מובנות",0,לא מדורג,לירה שטרלינג,"12,285,441.23",172.61,"115,082.30",0.00,1.35,0.06,,
,JO Hambro Asia,IE00B435PM67,ISE,8387,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"34,156,086.21",144.20,"185,487.09",0.00,2.18,0.10,,
