,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,
,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,"סה""כ מניות",,,,,,,"439,126,984.58",,"4,751,886.88",,100.00,2.46
,בישראל,,,,,,,,,,,,
,תל אביב 25,,,,,,,,,,,,
,בינלאומי  5- בינלאומי,593038,TASE,,593,בנקים,שקל חדש,"1,523,301.00","4,657.00","70,940.13",1.52,1.49,0.04
,פועלים- בנק הפועלים,662577,TASE,,662,בנקים,שקל חדש,"20,161,789.05","1,950.00","393,154.89",1.51,8.27,0.20
,מזרחי טפחות- בנק מזרחי טפחות,695437,TASE,,668,בנקים,שקל חדש,"2,470,252.00","4,407.00","108,864.01",1.07,2.29,0.06
,דיסקונט א- דיסקונט,691212,TASE,,691,בנקים,שקל חדש,"14,466,766.51",636.00,"92,008.64",1.37,1.94,0.05
,לאומי- לאומי,604611,TASE,,604,בנקים,שקל חדש,"25,927,803.25","1,349.00","349,766.07",1.70,7.36,0.18
,"אורמת טכנולוגיות בע""מ- ORMAT TECHNOLOGIES LTD",1134402,TASE,,2250,השקעות בהיי-טק,שקל חדש,"150,155.00","15,480.00","23,243.99",0.31,0.49,0.01
,אלביט מערכות- אלביט מערכות,1081124,TASE,,1040,השקעות בהיי-טק,שקל חדש,"382,728.00","35,370.00","135,370.89",0.90,2.85,0.07
,נייס- נייס,273011,TASE,,273,השקעות בהיי-טק,שקל חדש,"1,085,612.00","24,650.00","267,603.36",1.79,5.63,0.14
,חברה לישראל- החברה לישראל,576017,TASE,,576,השקעות ואחזקות,שקל חדש,"97,670.83","63,140.00","61,669.36",1.27,1.30,0.03
,פז נפט- פז חברת נפט,1100007,TASE,,8120,השקעות ואחזקות,שקל חדש,"180,620.00","59,690.00","107,812.08",1.78,2.27,0.06
,קבוצת דלק- קבוצת דלק,1084128,TASE,,1095,השקעות ואחזקות,שקל חדש,"106,798.00","64,440.00","68,820.63",0.89,1.45,0.04
,אבנר יהש- אבנר יהש,268011,TASE,,268,חיפושי נפט וגז,שקל חדש,"27,019,723.00",214.20,"57,876.25",0.81,1.22,0.03
,דלק קידוחים יהש- דלק קידוחים,475020,TASE,,8306,חיפושי נפט וגז,שקל חדש,"4,150,517.00","1,105.00","45,863.21",0.76,0.97,0.02
,ישראמקו- ישראמקו,232017,TASE,,232,חיפושי נפט וגז,שקל חדש,"225,527,729.00",64.40,"145,239.86",1.74,3.06,0.08
,אופקו- אופקו,1129543,TASE,,9052,מכשור רפואי,שקל חדש,"3,438,476.00","3,785.00","130,146.32",0.63,2.74,0.07
,מיילן- MYLAN NV,1136704,TASE,,9135,מסחר,שקל חדש,"50,498.00","17,270.00","8,721.00",0.01,0.18,0.00
,פריגו,1130699,TASE,,1233,מסחר,שקל חדש,"916,879.00","48,520.00","444,869.69",0.65,9.36,0.23
,אסם- אסם,304014,TASE,,304,מסחר,שקל חדש,"377,328.00","8,213.00","30,989.95",0.34,0.65,0.02
,טבע- טבע,629014,TASE,,629,מסחר,שקל חדש,"2,703,161.00","20,270.00","547,930.73",0.26,11.53,0.28
,כיל- כיל,281014,TASE,,281,מסחר,שקל חדש,"9,988,681.00","1,635.00","163,314.93",0.78,3.44,0.08
,פרוטרום- פרוטרום,1081082,TASE,,1037,מסחר,שקל חדש,"589,765.00","19,700.00","116,183.71",1.00,2.45,0.06
,שטראוס-עלית- שטראוס עלית,746016,TASE,,746,מסחר,שקל חדש,"681,899.00","5,633.00","38,411.37",0.64,0.81,0.02
