,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,13.43,,,0.68,"90,220,096,556.66",,"106,895,801.60",,100.00,55.28,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,
,חץ,,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חץ",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,ערד,,,,,,,,,,,,,,,,,,,
,ערד 8796 01.11.27 4.8%- ממשלת ישראל,8287963,RF,מעלות,01/11/12,9.43,שקל חדש,4.80,0.52,"414,621,000.00",150.05,"622,131.66",0.00,0.58,0.32,,,,,
,ערד 8797 02.12.27 4.8%- ממשלת ישראל,8287971,RF,מעלות,02/12/12,9.51,שקל חדש,4.80,0.54,"625,472,000.00",149.71,"936,402.39",0.00,0.88,0.48,,,,,
,ערד 8798 01.01.28 4.8%- ממשלת ישראל,8287989,RF,מעלות,01/01/13,9.59,שקל חדש,4.80,0.54,"643,426,000.00",149.67,"963,042.87",0.00,0.90,0.50,,,,,
,ערד 8799 01.02.28 4.8%- ממשלת ישראל,8287997,RF,מעלות,01/02/13,9.68,שקל חדש,4.80,0.54,"1,038,684,000.00",149.61,"1,553,999.00",0.00,1.45,0.80,,,,,
,ערד 8800 01.03.28 4.8%- ממשלת ישראל,8288003,RF,מעלות,01/03/13,9.76,שקל חדש,4.80,0.56,"404,589,000.00",149.28,"603,954.22",0.00,0.56,0.31,,,,,
,ערד 8801 02.04.28 4.8%- ממשלת ישראל,8288011,RF,מעלות,02/04/13,9.69,שקל חדש,4.80,0.55,"285,451,000.00",151.62,"432,807.36",0.00,0.40,0.22,,,,,
,ערד 8802 01.05.28 4.8%- ממשלת ישראל,8288029,RF,מעלות,01/05/13,9.77,שקל חדש,4.80,0.55,"445,243,000.00",151.57,"674,869.29",0.00,0.63,0.35,,,,,
,ערד 8803 02.06.28 4.8%- ממשלת ישראל,8288037,RF,מעלות,02/06/13,9.85,שקל חדש,4.80,0.57,"647,506,000.00",151.23,"979,243.58",0.00,0.92,0.51,,,,,
,ערד 8804 01.07.28 4.8%- ממשלת ישראל,8288045,RF,מעלות,01/07/13,9.93,שקל חדש,4.80,0.57,"481,797,000.00",151.19,"728,444.84",0.00,0.68,0.38,,,,,
,ערד 8805 01.08.28 4.8%- ממשלת ישראל,8288052,RF,מעלות,01/08/13,10.02,שקל חדש,4.80,0.57,"161,479,000.00",151.14,"244,058.53",0.00,0.23,0.13,,,,,
,ערד 8806 01.09.28 4.8%- ממשלת ישראל,8288060,RF,מעלות,01/09/13,10.10,שקל חדש,4.80,0.59,"604,074,000.00",150.79,"910,867.58",0.00,0.85,0.47,,,,,
,ערד 8808 01.11.28 4.8%- ממשלת ישראל,8288086,RF,מעלות,01/11/13,10.11,שקל חדש,4.80,0.58,"821,056,000.00",153.08,"1,256,853.27",0.00,1.18,0.65,,,,,
,ערד 8809 01.12.28 4.8%- ממשלת ישראל,8288094,RF,מעלות,01/12/13,10.19,שקל חדש,4.80,0.60,"587,761,000.00",152.74,"897,739.79",0.00,0.84,0.46,,,,,
