,תאריך הדיווח,31/03/2016,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,
,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,
,8. חוזים עתידיים,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,
,,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),
,"סה""כ חוזים עתידיים ",,,,,"1,257,806,243.26",,"369,928.91",100.00,0.19,
,בישראל,,,,,,,,,,
,מדדים כולל מניות,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,
,"סה""כ מדדים כולל מניות",,,,,0.00,,0.00,0.00,0.00,
,"ש""ח/מט""ח",,,,,,,,,,
,5.88%$/5.4264% 11.19 HAPI- בנק הפועלים,31001502,בנקים,דולר אמריקאי,01/11/15,"-24,000,000.00",119.14,"-107,684.34",-29.11,-0.06,
,5.88%/5.4264% 11.19 HAPI- בנק הפועלים,31001501,בנקים,שקל חדש,01/11/15,"90,528,000.00",124.93,"113,096.14",30.57,0.06,
,FW POALIM 01.04.16 3.7667 $/NIS- בנק הפועלים,76005524,בנקים,דולר אמריקאי,31/03/16,"25,100,000.00",-0.08,-19.35,-0.01,0.00,
,FW POALIM 01.09.16 3.751 $/NIS- בנק הפועלים,76005532,בנקים,דולר אמריקאי,31/03/16,"-25,100,000.00",0.34,-84.59,-0.02,0.00,
,FW Poalim 25.04.2016 5.61 GBP/NIS- בנק הפועלים,76005244,בנקים,לירה שטרלינג,20/01/16,"-4,160,000.00",-18.47,768.36,0.21,0.00,
,HAPI   ISR 03.20 4.625%/5.85%- בנק הפועלים,31002301,בנקים,שקל חדש,01/11/15,"54,498,600.00",124.63,"67,923.03",18.36,0.04,
,HAPI   ISR 03.20 4.625%/5.85%- בנק הפועלים,31002302,בנקים,אירו,01/11/15,"-11,700,000.00",122.66,"-61,504.79",-16.63,-0.03,
,HAPI  ISR 03.20 4.625%/5.58- בנק הפועלים,31001001,בנקים,שקל חדש,01/11/15,"49,329,350.00",123.54,"60,942.23",16.47,0.03,
,HAPI  ISR 03.20 4.625%/5.58- בנק הפועלים,31001002,בנקים,אירו,01/11/15,"-9,700,000.00",122.66,"-50,991.15",-13.78,-0.03,
,HAPI  ISR 03.20 4.625%/5.91%- בנק הפועלים,31001401,בנקים,שקל חדש,01/11/15,"59,563,440.00",124.88,"74,379.89",20.11,0.04,
,HAPI  ISR 03.20 4.625%/5.91%- בנק הפועלים,31001402,בנקים,אירו,01/11/15,"-12,000,000.00",122.66,"-63,081.84",-17.05,-0.03,
,HAPI GAZIT 2022 5.52%/7.1750%- בנק הפועלים,31007001,בנקים,שקל חדש,01/11/15,"117,420,000.00",135.77,"159,416.52",43.09,0.08,
,HAPI GAZIT 2022 5.52%/7.1750%$- בנק הפועלים,31007002,בנקים,דולר אמריקאי,01/11/15,"-30,000,000.00",122.34,"-138,219.77",-37.36,-0.07,
,HAPI PHONIX 2019 L+4.075%/6.675%- בנק הפועלים,31005401,בנקים,שקל חדש,01/11/15,"110,359,500.00",123.68,"136,490.21",36.90,0.07,
,HAPI PHONIX 2019 L+4.075%/6.675%$- בנק הפועלים,31005402,בנקים,דולר אמריקאי,01/11/15,"-29,000,000.00",114.04,"-124,548.80",-33.67,-0.06,
,FW MIZI 13.6.16 3.9160 $/NIS- בנק מזרחי טפחות,76005212,בנקים,דולר אמריקאי,11/01/16,"-37,500,000.00",-15.33,"5,748.42",1.55,0.00,
,FW MIZI 18.05.16 3.901 $/NIS- בנק מזרחי טפחות,76005348,בנקים,דולר אמריקאי,16/02/16,"-10,500,000.00",-13.72,"1,440.10",0.39,0.00,
,FW MIZI 29.08.2016 3.9 USD/NIS- בנק מזרחי טפחות,76005404,בנקים,דולר אמריקאי,24/02/16,"-19,300,000.00",-14.53,"2,805.21",0.76,0.00,
