,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.ה. פקדונות מעל 3 חודשים:,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,"מח""מ",סוג מטבע,תנאי ושיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,
,"נקוב במט""ח",,,,,,,,,,,,,,,,,,
,בלל דולר 5.4264% 2019- לאומי,76001528,10,AAA,מעלות,3.27,דולר אמריקאי,5.43,2.45,"48,000,000.00",112.43,"203,237.46",3.53,0.11,,,,,
,לאומי LIBOR+0.63% 14.12.16- לאומי,76004944,10,AAA,מעלות,0.70,דולר אמריקאי,1.13,1.15,"140,691,000.00",100.04,"530,054.24",9.20,0.27,,,,,
,מזרחי פקדון דולר L +0.63% 09/05/16- בנק מזרחי טפחות,76003706,20,AAA,מעלות,0.11,דולר אמריקאי,0.91,1.05,"103,100,000.00",101.45,"393,904.58",6.84,0.20,,,,,
,פיקדון $$ פועלים 10.8.2016 L+0.44%- בנק הפועלים,76004130,12,AAA,מעלות,0.36,דולר אמריקאי,0.78,0.91,"36,725,000.00",100.06,"138,389.33",2.40,0.07,,,,,
,פיקדון $$$  פועלים 29.8.2016 1.45%- בנק הפועלים,76004282,12,AAA,מעלות,0.41,דולר אמריקאי,1.45,1.61,"152,925,000.00",100.79,"580,465.28",10.07,0.30,,,,,
,פיקדון דולרי בבנק לאומי 26.09.2016 L+0.48% 	- לאומי,76004418,10,AAA,מעלות,0.49,דולר אמריקאי,0.81,0.84,"118,019,500.00",100.00,"444,461.44",7.71,0.23,,,,,
,פיקדון מזרחי$ L+0.44% 22.6.16- בנק מזרחי טפחות,76003898,20,AAA,מעלות,0.23,דולר אמריקאי,0.72,0.97,"30,550,000.00",100.50,"115,626.56",2.01,0.06,,,,,
,"פקדון $ בל""ל 2.5.16 ליבור + 0.57%- לאומי",76003690,10,AAA,מעלות,0.09,דולר אמריקאי,0.90,1.07,"15,167,500.00",100.13,"57,195.06",0.99,0.03,,,,,
,פקדון לאומי$  22.6.16  L+0.4%- לאומי,76003906,10,AAA,מעלות,0.23,דולר אמריקאי,0.99,1.28,"122,150,000.00",99.96,"459,832.89",7.98,0.24,,,,,
,"פקדון מזרחי$  10.8.16 יעוד מניות חו""ל- בנק מזרחי טפחות",76004122,20,AAA,מעלות,0.36,דולר אמריקאי,0.75,0.94,"116,200,000.00",100.41,"439,403.40",7.62,0.23,,,,,
,"פקדון פועלים$ 11.8.16 יעוד מניות חו""ל- בנק הפועלים",76004138,12,AAA,מעלות,0.36,דולר אמריקאי,0.80,1.01,"122,300,000.00",100.03,"460,719.97",7.99,0.24,,,,,
,"פקדון פועלים$ 16.3.17 יעוד מניות חו""ל- בנק הפועלים",76005464,12,AAA,מעלות,0.95,דולר אמריקאי,1.34,1.99,"119,556,000.00",100.12,"450,788.19",7.82,0.23,,,,,
,"סה""כ נקוב במט""ח",,,,,0.58,,,1.29,"1,125,384,000.00",,"4,274,078.42",74.17,2.21,,,,,
,"צמודי מט""ח",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודי מט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אחר",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,0.94,,,1.12,"2,464,269,825.22",,"5,762,889.48",100.00,2.98,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,
