,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,
,5. קרנות השקעה,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(3),(4),(5),(6),(7),(8),(9),(10),,,,,
,"סה""כ קרנות השקעה ",,,,"1,062,859,474.87",,"3,412,844.82",,100.00,1.77,,,,,
,בישראל,,,,,,,,,,,,,,
,קרנות הון סיכון,,,,,,,,,,,,,,
,Carmel Ventures IV- Carmel,60337284,דולר אמריקאי,21/01/14,"2,437,500.00",105.26,"9,662.09",0.00,0.28,0.00,,,,,
,Gemini Israel V L.P- Gemini,9840826,דולר אמריקאי,06/01/09,"2,855,076.00",164.16,"17,650.90",0.00,0.52,0.01,,,,,
,Giza III- Giza,9840834,דולר אמריקאי,26/06/01,"1,000,000.00",4.06,152.95,0.00,0.00,0.00,,,,,
,Magma II- Magma,9840871,דולר אמריקאי,10/08/06,"1,880,000.00",103.68,"7,340.34",0.00,0.22,0.00,,,,,
,Medica III- Medica,9840875,דולר אמריקאי,06/01/05,"1,963,259.00",38.41,"2,839.56",0.00,0.08,0.00,,,,,
,PNV II- Neuron Ventures,9840890,דולר אמריקאי,04/12/00,"1,000,000.00",51.54,"1,940.82",0.00,0.06,0.00,,,,,
,Plenus II- Plenus (Viola Credit),9840915,דולר אמריקאי,20/01/05,"650,191.00",71.07,"1,740.34",0.00,0.05,0.00,,,,,
,Plenus III- Plenus (Viola Credit),9840920,דולר אמריקאי,24/10/07,"3,953,506.00",106.60,"15,871.07",0.00,0.47,0.01,,,,,
,SCP VitaLife II- SCP Vitalife,9840803,דולר אמריקאי,30/10/07,"5,000,000.00",84.55,"15,920.09",0.00,0.47,0.01,,,,,
,Vertex II- Vertex,9840853,דולר אמריקאי,14/12/00,"999,999.00",7.61,286.52,0.00,0.01,0.00,,,,,
,Vertex III- Vertex,9840855,דולר אמריקאי,19/05/05,"1,000,000.00",46.95,"1,768.25",0.00,0.05,0.00,,,,,
,Vintage II- Vintage,9840860,דולר אמריקאי,12/04/06,"1,907,077.00",109.58,"7,870.19",0.00,0.23,0.00,,,,,
,Vintage III- Vintage,9840861,דולר אמריקאי,09/10/07,"3,300,001.00",66.45,"8,257.89",0.00,0.24,0.00,,,,,
,Vintage Investment Partners V- Vintage,60297512,דולר אמריקאי,21/08/12,"4,378,358.00",104.53,"17,235.35",0.00,0.51,0.01,,,,,
,Vintage IV- Vintage,9840774,דולר אמריקאי,28/05/09,"4,996,949.08",99.86,"18,791.92",0.00,0.55,0.01,,,,,
,Vintage VII Amitim- Vintage,60370269,דולר אמריקאי,14/10/14,"6,670,000.00",92.78,"23,306.29",0.00,0.68,0.01,,,,,
,בוטיצ'לי- Boticelli,9840825,שקל חדש,09/01/01,"274,461.00",0.01,0.03,0.00,0.00,0.00,,,,,
,"סה""כ קרנות הון סיכון",,,,"44,266,377.08",,"150,634.60",,4.41,0.08,,,,,
,קרנות גידור,,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות גידור",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות נדל""ן",,,,,,,,,,,,,,
,Faire fund I- Faire,9840946,דולר אמריקאי,20/01/04,"1,500,000.00",18.58,"1,049.42",0.00,0.03,0.00,,,,,
,Bait Vegag I-Tama 38- Bait Vegag,59956,שקל חדש,13/04/14,"13,381,368.00",102.79,"13,754.67",0.00,0.40,0.01,,,,,
,Yesodot I - Tama 38 Finance- Yesodot,92817,שקל חדש,11/01/15,"11,899,446.00",97.65,"11,620.27",0.00,0.34,0.01,,,,,
