,תאריך הדיווח,31/03/2016,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,
,5. תעודות סל,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,AUEM FP AMUNDI MSCI EME- AMUNDI INVT SOLUTIONS,FR0010959692,EURONEXT,9080,תעודות סל,דולר אמריקאי,"6,281,382.00",347.78,"82,269.74",2.10,0.86,0.04,,
,CMU FP Amundi Europe EMU- AMUNDI INVT SOLUTIONS,FR0010655688,EURONEXT,9080,תעודות סל,אירו,"159,512.00","15,858.56","108,409.85",3.86,1.13,0.06,,
,CUK LN Amundi MSCI UK- AMUNDI INVT SOLUTIONS,FR0010655761,LSE,9080,תעודות סל,לירה שטרלינג,"110,066.00","12,932.13","77,245.80",15.77,0.81,0.04,,
,JPNY FP AMUNDI NIKKEI 400- AMUNDI INVT SOLUTIONS,FR0012205623,EURONEXT,9080,תעודות סל,יין יפני,"164,697.00","1,272,599.85","70,276.66",5.81,0.73,0.04,,
,DB MSCI World XDWD LN- DEUTSCHE BANK,IE00BJ0KDQ92,LSE,8229,תעודות סל,דולר אמריקאי,"3,618,774.00","4,477.40","610,193.63",15.29,6.37,0.32,,
,XD9U LN DB MSCI US- DEUTSCHE BANK,IE00BJ0KDR00,LSE,8229,תעודות סל,דולר אמריקאי,"4,826,934.00","5,281.60","960,101.58",14.42,10.02,0.50,,
,XMEU GR DB MSCI Europe- DEUTSCHE BANK,LU0274209237,FWB,8229,תעודות סל,אירו,"1,900,216.00","4,665.05","379,901.41",3.31,3.96,0.20,,
,XMJD LN DB MSCI Japan- DEUTSCHE BANK,LU0274209740,LSE,8229,תעודות סל,דולר אמריקאי,"1,568,594.00","4,591.20","271,217.11",5.96,2.83,0.14,,
,XPXD LN DB Pacific Ex- Japan- DEUTSCHE BANK,LU0322252338,LSE,8229,תעודות סל,דולר אמריקאי,"1,170,778.00","4,629.50","204,121.60",11.59,2.13,0.11,,
,EEM Ishares MSCI EMRG- ISHARES,US4642872349,NYSE,8342,תעודות סל,דולר אמריקאי,"13,798.00","3,425.00","1,779.74",0.00,0.02,0.00,,
,EWJ US- ISHARES,us4642868487,NYSE,8342,תעודות סל,דולר אמריקאי,"1,345,570.00","1,141.00","57,819.22",0.09,0.60,0.03,,
,Ishares MSCI World IWDA LN- ISHARES,IE00B4L5Y983,LSE,8342,תעודות סל,דולר אמריקאי,"5,945,469.00","4,092.70","916,381.57",3.83,9.56,0.47,,
,ITB Home Construction- ISHARES,US4642887529,NYSE,8342,תעודות סל,דולר אמריקאי,"1,083,632.00","2,709.00","110,553.16",1.98,1.15,0.06,,
,1321 JP NOMURA NIKKEI 225- Nomura,JP3027650005,JPX,9007,תעודות סל,יין יפני,"216,749.00","1,732,414.99","125,904.89",0.12,1.31,0.07,,
,QQQ US- POWERSHARES,US73935A1043,NASDAQ,8345,תעודות סל,דולר אמריקאי,"455,289.00","10,920.00","187,236.33",0.13,1.95,0.10,,
,MXWO LN- SOURCE MARKETS PLC,IE00B60SX394,LSE,8392,תעודות סל,דולר אמריקאי,"1,800,166.00","4,378.00","296,803.23",19.16,3.10,0.15,,
,Source MSCI Europe- SOURCE MARKETS PLC,IE00B60SWY32,FWB,8392,תעודות סל,אירו,"430,761.00","17,580.65","324,550.99",14.51,3.39,0.17,,
,Source S P 500- SOURCE MARKETS PLC,IE00B3YCGJ38,LSE,8392,תעודות סל,דולר אמריקאי,"520,351.00","35,186.77","689,534.68",7.78,7.19,0.36,,
,FINANC SPDT-XLF- State Street,US81369Y6059,NYSE,8330,תעודות סל,דולר אמריקאי,"1,586,117.00","2,250.00","134,399.62",0.22,1.40,0.07,,
,SPDR EUROPE Cons Disc- State Street,IE00BKWQ0C77,EURONEXT,8330,תעודות סל,אירו,"259,513.00","9,843.71","109,478.68",17.30,1.14,0.06,,
,spy - spdr- State Street,US78462F1030,NYSE,8330,תעודות סל,דולר אמריקאי,"755,871.00","20,552.00","585,035.33",0.09,6.10,0.30,,
,VNQ REIT,US9229085538,NYSE,8394,תעודות סל,דולר אמריקאי,"5,068,086.00","8,380.00","1,599,441.32",1.40,16.69,0.83,,
,"סה""כ שמחקות מדדי מניות",,,,,,"40,009,443.00",,"7,967,809.13",,83.13,4.12,,
,שמחקות מדדים אחרים,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים",,,,,,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,0.00,,0.00,0.00,,
,short,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ short",,,,,,0.00,,0.00,,0.00,0.00,,
,"סה""כ בחו""ל",,,,,,"40,009,443.00",,"7,967,809.13",,83.13,4.12,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
