,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,
,10S LaSalle Chicago HON- 10S LaSalle Chicago JV LLC,61001889,אחר,9137,Real Estate,דולר אמריקאי,"3,443,887.48",100.00,"12,969.68",0.00,2.00,0.01,,,,,
,10S LaSalle Chicago LOAN to TX Blkr- 10S LaSalle Chicago JV LLC,61001897,אחר,9137,Real Estate,דולר אמריקאי,"6,395,791.02",100.00,"24,086.55",0.00,3.71,0.01,,,,,
,10S LaSalle Chicago QFPF- 10S LaSalle Chicago JV LLC,61001905,אחר,9137,Real Estate,דולר אמריקאי,"14,759,517.75",100.00,"55,584.34",0.00,8.55,0.03,,,,,
,529 FIFTH VENTURE LP - HON- 529 FIFTH VENTURE LP,60374576,אחר,9099,Real Estate,דולר אמריקאי,"4,116,931.00",135.67,"21,034.80",0.00,3.24,0.01,,,,,
,529 FIFTH VENTURE LP - LOAN- 529 FIFTH VENTURE LP,60374550,אחר,9099,Real Estate,דולר אמריקאי,"9,606,171.00",100.00,"36,176.84",0.00,5.57,0.02,,,,,
,GAIA COPERFILD HON- gaia coperfild ivc houston,60380565,אחר,9106,Real Estate,דולר אמריקאי,"1,034,162.21",124.30,"4,841.20",0.00,0.75,0.00,,,,,
,GAIA COPERFILD LOAN- gaia coperfild ivc houston,60380573,אחר,9106,Real Estate,דולר אמריקאי,"2,413,045.17",100.00,"9,087.53",0.00,1.40,0.00,,,,,
,SL150E42 - HON- SL 150 E42 St. Realty,60390366,אחר,9119,Real Estate,דולר אמריקאי,"1,647,969.50",119.68,"7,427.72",0.00,1.14,0.00,,,,,
,SL150E42 Loans to LPs- SL 150 E42 St. Realty,60390358,אחר,9119,Real Estate,דולר אמריקאי,"7,013,154.38",100.00,"26,411.54",0.00,4.06,0.01,,,,,
,*TEXAS FINANCE 12 LLC - HON- TEXAS 12,60372000,אחר,9085,Real Estate,דולר אמריקאי,"4,478,017.39",129.28,"21,801.47",0.00,3.36,0.01,,,,,
,TEXAS FINANCE 12- TEXAS 12 FINANCE,60372026,אחר,9086,Real Estate,דולר אמריקאי,"4,073,170.65",100.00,"15,339.56",0.00,2.36,0.01,,,,,
,"*Amitim Miv U.S. Real Estate Investments Hon (2014)- יהב אחזקות יו.אס.איי בע""מ",7894563,אחר,9087,Real Estate,שקל חדש,"10,242,950.19",0.00,0.00,0.00,0.00,0.00,,,,,
,"*Amitim Miv U.S. Real Estate Investments Hov LP- יהב אחזקות יו.אס.איי בע""מ",7894561,אחר,9087,Real Estate,שקל חדש,"25,428,161.57",0.00,0.00,0.00,0.00,0.00,,,,,
,"*Mivtachim Texas 12 LP- יהב אחזקות יו.אס.איי בע""מ",7894567,אחר,9087,Real Estate,שקל חדש,"14,720,967.58",0.00,0.00,0.00,0.00,0.00,,,,,
,DELEK GLOBAL- דלק בלרון,JE00B1S0VN88,אחר,8253,"נדל""ן ובינוי",לירה שטרלינג,"448,836.82",0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חברות זרות בחו""ל",,,,,,"109,822,733.71",,"234,761.23",,36.13,0.12,,,,,
,"סה""כ בחו""ל",,,,,,"109,822,733.71",,"234,761.23",,36.13,0.12,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
